#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.0001 0 -10.8928 -10.8928 1.73205
0.0001 20 -13.1642 -13.1642 3.31662
0.0001 40 -3.29289 -3.29289 3.60555
0.0001 60 -9.93198 -9.93198 1
0.0001 80 -6.97855 -6.97855 4.58258
0.0001 100 -11.2249 -11.2249 3
0.0001 120 -6.60355 -6.60355 5
0.0001 140 -7.24632 -7.24632 4.12311
0.0001 160 -8.99632 -8.99632 5.74456
0.0001 180 -12.1428 -12.1428 2.23607
0.0001 200 -4.26777 -4.26777 2.23607
0.0001 220 -8.91421 -8.91421 3
0.0001 240 -8.49632 -8.49632 3.60555
0.0001 260 -7.56434 -7.56434 1.73205
0.0001 280 -4.25 -4.25 3.31662
0.0001 300 -7.35355 -7.35355 3.31662
0.0001 320 -2.49632 -2.49632 3
0.0001 340 -11.5429 -11.5429 2.23607
0.0001 360 -5.93198 -5.93198 4.58258
0.0001 380 -12.1036 -12.1036 3.60555
0.0001 400 -3.22487 -3.22487 4.58258
0.0001 420 -7.625 -7.625 2.23607
0.0001 440 -7.53553 -7.53553 2.23607
0.0001 460 -14.3321 -14.3321 1.73205
0.0001 480 -12.7108 -12.7108 3
0.0001 500 -8.29289 -8.29289 2.23607
0.0001 520 -9.41053 -9.41053 2.23607
0.0001 540 -10.8358 -10.8358 4.12311
0.0001 560 -5.79289 -5.79289 5.91608
0.0001 580 -8.68566 -8.68566 1.73205
0.0001 600 -9.93566 -9.93566 3.31662
0.0001 620 -10.25 -10.25 2.23607
0.0001 640 -3.41421 -3.41421 5.74456
0.0001 660 -11.6893 -11.6893 1
0.0001 680 -11.5355 -11.5355 1.73205
0.0001 700 -8.06434 -8.06434 3
0.0001 720 -10.1036 -10.1036 4.58258
0.0001 740 -11.1893 -11.1893 3
0.0001 760 -11.3713 -11.3713 1
0.0001 780 -7.47487 -7.47487 5.19615
0.0001 800 -8.70343 -8.70343 4.12311
0.0001 820 -7.24632 -7.24632 5.19615
0.0001 840 -11.2678 -11.2678 3
0.0001 860 -7.01777 -7.01777 3.60555
0.0001 880 -7.77145 -7.77145 3.31662
0.0001 900 -6.28921 -6.28921 5.38516
0.0001 920 -8.54289 -8.54289 3.31662
0.0001 940 -9.56066 -9.56066 4.58258
0.0001 960 -4.83211 -4.83211 3
0.0001 980 -9.45711 -9.45711 3
0.0001 1000 -8.32843 -8.32843 2.23607
0.0001 1020 -5.93566 -5.93566 3
0.0001 1040 -7.83211 -7.83211 4.12311
0.0001 1060 -10.3321 -10.3321 1.73205
0.0001 1080 -10.7463 -10.7463 5.38516
0.0001 1100 -15.932 -15.932 2.23607
0.0001 1120 -13.8536 -13.8536 2.23607
0.0001 1140 -4.56434 -4.56434 4.3589
0.0001 1160 -10.7929 -10.7929 3
0.0001 1180 -8.24632 -8.24632 1.73205
0.0001 1200 -8.28921 -8.28921 1
0.0001 1220 -11.9571 -11.9571 1.73205
0.0001 1240 -13.5037 -13.5037 1.73205
0.0001 1260 -12.7892 -12.7892 4.12311
0.0001 1280 -10.4357 -10.4357 3.60555
0.0001 1300 -1.28921 -1.28921 1
0.0001 1320 -11.0429 -11.0429 3.31662
0.0001 1340 -9.875 -9.875 3.31662
0.0001 1360 -12.2145 -12.2145 4.58258
0.0001 1380 -3.85723 -3.85723 3.60555
0.0001 1400 -11.2892 -11.2892 3.60555
0.0001 1420 -13.5999 -13.5999 5
0.0001 1440 -13.7071 -13.7071 5.74456
0.0001 1460 -11.9357 -11.9357 3
0.0001 1480 -11.25 -11.25 5.19615
0.0001 1500 -7.18566 -7.18566 3
0.0001 1520 -11.5821 -11.5821 2.23607
0.0001 1540 -3.47855 -3.47855 7.81025
0.0001 1560 -8.06434 -8.06434 3
0.0001 1580 -10.2286 -10.2286 5.74456
0.0001 1600 -12.0214 -12.0214 2.23607
0.0001 1620 -9.47487 -9.47487 4.12311
0.0001 1640 -10.3536 -10.3536 3
0.0001 1660 -8.31066 -8.31066 3
0.0001 1680 -9.125 -9.125 3.31662
0.0001 1700 -8.43198 -8.43198 4.12311
0.0001 1720 -12.375 -12.375 3
0.0001 1740 -10.6464 -10.6464 3
0.0001 1760 -12.1893 -12.1893 2.23607
0.0001 1780 -8.05698 -8.05698 1
0.0001 1800 -10.6605 -10.6605 1
0.0001 1820 -11.3321 -11.3321 3
0.0001 1840 -8.04289 -8.04289 3
0.0001 1860 -9.85355 -9.85355 3.31662
0.0001 1880 -4.99632 -4.99632 4.12311
0.0001 1900 -10.4608 -10.4608 2.23607
0.0001 1920 -10.125 -10.125 2.23607
0.0001 1940 -11.8107 -11.8107 2.23607
0.0001 1960 -9.10355 -9.10355 4.12311
0.0001 1980 -8.91421 -8.91421 2.23607
0.0001 2000 -7.03921 -7.03921 3.60555
