#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.000366667 0 -6.93934 -6.93934 3
0.000366667 20 0.664214 0.664214 4.3589
0.000366667 40 -5.03921 -5.03921 3.60555
0.000366667 60 -0.875 -0.875 5.38516
0.000366667 80 -2.41789 -2.41789 4.12311
0.000366667 100 -3.35355 -3.35355 4.58258
0.000366667 120 2.51777 2.51777 5.91608
0.000366667 140 -7.77145 -7.77145 7.14143
0.000366667 160 -5.68198 -5.68198 4.3589
0.000366667 180 -5.43934 -5.43934 3
0.000366667 200 -0.0214466 -0.0214466 4.12311
0.000366667 220 -6.85355 -6.85355 5.74456
0.000366667 240 -8.77513 -8.77513 4.12311
0.000366667 260 -5.20711 -5.20711 4.12311
0.000366667 280 -0.0606602 -0.0606602 4.3589
0.000366667 300 -1.73223 -1.73223 4.12311
0.000366667 320 -10.7929 -10.7929 2.23607
0.000366667 340 -1.78921 -1.78921 6.40312
0.000366667 360 -2.56434 -2.56434 3.31662
0.000366667 380 -3.68934 -3.68934 4.12311
0.000366667 400 2.47487 2.47487 3
0.000366667 420 -9.68566 -9.68566 1.73205
0.000366667 440 -4.35355 -4.35355 3
0.000366667 460 2.375 2.375 4.58258
0.000366667 480 -0.517767 -0.517767 6.55744
0.000366667 500 4.44089e-16 7.32747e-15 3.60555
0.000366667 520 -3.08211 -3.08211 5.91608
0.000366667 540 -5.39277 -5.39277 4.12311
0.000366667 560 -7.03921 -7.03921 3.31662
0.000366667 580 -8.89645 -8.89645 4.3589
0.000366667 600 -7.05698 -7.05698 2.23607
0.000366667 620 2.25368 2.25368 6.55744
0.000366667 640 -1.45711 -1.45711 4.3589
0.000366667 660 -6.49632 -6.49632 2.23607
0.000366667 680 2.91421 2.91421 5.19615
0.000366667 700 -1.75 -1.75 3
0.000366667 720 -5.58211 -5.58211 3
0.000366667 740 -11.5178 -11.5178 5
0.000366667 760 -4.43566 -4.43566 1.73205
0.000366667 780 -2.45343 -2.45343 4.12311
0.000366667 800 0.0821068 0.0821068 1
0.000366667 820 -2.03921 -2.03921 3
0.000366667 840 -4.99632 -4.99632 6.08276
0.000366667 860 -8.45711 -8.45711 5.91608
0.000366667 880 0.81066 0.81066 5.19615
0.000366667 900 -0.93566 -0.93566 4.12311
0.000366667 920 -0.732233 -0.732233 4.58258
0.000366667 940 -1.375 -1.375 2.23607
0.000366667 960 -6.84987 -6.84987 6.08276
0.000366667 980 -6.37132 -6.37132 5.19615
0.000366667 1000 2.51777 2.51777 3
0.000366667 1020 -2.875 -2.875 5.38516
0.000366667 1040 -2.39645 -2.39645 5.38516
0.000366667 1060 -5.22487 -5.22487 2.23607
0.000366667 1080 -5.56066 -5.56066 5.91608
0.000366667 1100 0.125 0.125 2.23607
0.000366667 1120 -7.04289 -7.04289 5.38516
0.000366667 1140 -7.375 -7.375 4.58258
0.000366667 1160 0.707107 0.707107 5.91608
0.000366667 1180 1.83211 1.83211 5.91608
0.000366667 1200 -2.58579 -2.58579 3.31662
0.000366667 1220 -5.39645 -5.39645 3.31662
0.000366667 1240 3.47855 3.47855 4.58258
0.000366667 1260 -6.37132 -6.37132 4.12311
0.000366667 1280 -2.52145 -2.52145 4.58258
0.000366667 1300 -1.74632 -1.74632 5.74456
0.000366667 1320 -4.62132 -4.62132 2.23607
0.000366667 1340 -1.18566 -1.18566 5.91608
0.000366667 1360 -3.66421 -3.66421 3.60555
0.000366667 1380 -5.22855 -5.22855 5.19615
0.000366667 1400 -1.5 -1.5 4.58258
0.000366667 1420 -1.18566 -1.18566 1.73205
0.000366667 1440 6.78921 6.78921 6.7082
0.000366667 1460 -5.46079 -5.46079 4.58258
0.000366667 1480 -6.81066 -6.81066 3.31662
0.000366667 1500 3.33579 3.33579 4.3589
0.000366667 1520 2.375 2.375 3
0.000366667 1540 0.62868 0.62868 5.38516
0.000366667 1560 -2.06066 -2.06066 2.23607
0.000366667 1580 -8.77145 -8.77145 6.7082
0.000366667 1600 2.33211 2.33211 4.58258
0.000366667 1620 -3.19302 -3.19302 3.31662
0.000366667 1640 1.74632 1.74632 8.06226
0.000366667 1660 -4.18566 -4.18566 3
0.000366667 1680 5.83579 5.83579 6.40312
0.000366667 1700 -3.47487 -3.47487 2.23607
0.000366667 1720 1.74632 1.74632 5
0.000366667 1740 1.51777 1.51777 5.38516
0.000366667 1760 0.375 0.375 4.58258
0.000366667 1780 -4.14645 -4.14645 3.60555
0.000366667 1800 -0.357233 -0.357233 1
0.000366667 1820 -2.68198 -2.68198 4.12311
0.000366667 1840 -10.2034 -10.2034 4.12311
0.000366667 1860 -0.75 -0.75 4.12311
0.000366667 1880 -1.93934 -1.93934 5.19615
0.000366667 1900 -5.06066 -5.06066 2.23607
0.000366667 1920 -6.84987 -6.84987 5
0.000366667 1940 -4.60723 -4.60723 2.23607
0.000366667 1960 -7.08211 -7.08211 4.58258
0.000366667 1980 -3.5 -3.5 3
0.000366667 2000 0.417893 0.417893 5.91608
