#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.0004 0 -0.292893 -0.292893 3.31662
0.0004 20 2.48223 2.48223 7.28011
0.0004 40 -2.97855 -2.97855 4.3589
0.0004 60 -8.18566 -8.18566 1.73205
0.0004 80 -1.08579 -1.08579 5.91608
0.0004 100 -5.41053 -5.41053 4.3589
0.0004 120 -1.43566 -1.43566 2.23607
0.0004 140 -3.81434 -3.81434 7.28011
0.0004 160 -0.228553 -0.228553 6.40312
0.0004 180 -8.06066 -8.06066 3.31662
0.0004 200 5.03921 5.03921 2.23607
0.0004 220 -4.75 -4.75 2.23607
0.0004 240 6.58211 6.58211 7.54983
0.0004 260 -3.49632 -3.49632 4.12311
0.0004 280 -0.74632 -0.74632 3.31662
0.0004 300 0.835786 0.835786 7
0.0004 320 2.43566 2.43566 8.06226
0.0004 340 0.453427 0.453427 5.74456
0.0004 360 -9.64277 -9.64277 5.38516
0.0004 380 -6.18566 -6.18566 3
0.0004 400 -1.22855 -1.22855 2.23607
0.0004 420 0.146447 0.146447 6.40312
0.0004 440 3.03921 3.03921 4.58258
0.0004 460 -1.27145 -1.27145 5.19615
0.0004 480 -1.89645 -1.89645 4.58258
0.0004 500 -3.82843 -3.82843 3
0.0004 520 3.39645 3.39645 4.12311
0.0004 540 -4.37868 -4.37868 3.31662
0.0004 560 -7.43566 -7.43566 5
0.0004 580 1.83211 1.83211 4.58258
0.0004 600 -1.68566 -1.68566 5.38516
0.0004 620 0.68566 0.68566 6.7082
0.0004 640 -3.66421 -3.66421 3.60555
0.0004 660 -1.16789 -1.16789 2.23607
0.0004 680 -1.91789 -1.91789 6.40312
0.0004 700 1.35355 1.35355 5.91608
0.0004 720 -4.85355 -4.85355 4.12311
0.0004 740 0.107233 0.107233 8.06226
0.0004 760 -5.25 -5.25 5.38516
0.0004 780 -0.978553 -0.978553 5.38516
0.0004 800 1.70711 1.70711 7.28011
0.0004 820 -2.75 -2.75 4.3589
0.0004 840 1.64277 1.64277 9.43398
0.0004 860 -2.81434 -2.81434 1.73205
0.0004 880 -7.45711 -7.45711 2.23607
0.0004 900 -8.875 -8.875 1
0.0004 920 -3.14277 -3.14277 3.60555
0.0004 940 -11.5 -11.5 3.31662
0.0004 960 -5.06066 -5.06066 4.3589
0.0004 980 0.585786 0.585786 2.23607
0.0004 1000 -8.49632 -8.49632 3
0.0004 1020 -1.75 -1.75 6.40312
0.0004 1040 0.853553 0.853553 7.81025
0.0004 1060 1.10355 1.10355 5.19615
0.0004 1080 -2.06434 -2.06434 2.23607
0.0004 1100 0.414214 0.414214 1
0.0004 1120 -10.0643 -10.0643 5.19615
0.0004 1140 -1.47855 -1.47855 3
0.0004 1160 4.68566 4.68566 3.60555
0.0004 1180 -0.375 -0.375 3
0.0004 1200 -5.35355 -5.35355 4.58258
0.0004 1220 -3.72855 -3.72855 3.31662
0.0004 1240 1.20711 1.20711 3.31662
0.0004 1260 -4.76777 -4.76777 3.31662
0.0004 1280 -3.27513 -3.27513 4.12311
0.0004 1300 1.47487 1.47487 9.21954
0.0004 1320 -2.59987 -2.59987 2.23607
0.0004 1340 -3.29289 -3.29289 2.23607
0.0004 1360 -2.56434 -2.56434 6.40312
0.0004 1380 0.835786 0.835786 2.23607
0.0004 1400 -2.83211 -2.83211 4.3589
0.0004 1420 -3.27145 -3.27145 4.58258
0.0004 1440 -2.22855 -2.22855 4.12311
0.0004 1460 0.49632 0.49632 3
0.0004 1480 3.83211 3.83211 6.7082
0.0004 1500 -2.95711 -2.95711 6.08276
0.0004 1520 -6.10355 -6.10355 3.60555
0.0004 1540 -1.06434 -1.06434 6.40312
0.0004 1560 -3.55698 -3.55698 5.38516
0.0004 1580 0.582107 0.582107 3
0.0004 1600 -4.99632 -4.99632 5.91608
0.0004 1620 -1.95343 -1.95343 3
0.0004 1640 -9.09987 -9.09987 3
0.0004 1660 2.09987 2.09987 7
0.0004 1680 -4.77145 -4.77145 4.12311
0.0004 1700 -0.103553 -0.103553 6.40312
0.0004 1720 -5.12868 -5.12868 2.23607
0.0004 1740 -1.16421 -1.16421 3
0.0004 1760 -5.39277 -5.39277 1
0.0004 1780 -2.64645 -2.64645 3.60555
0.0004 1800 4.52145 4.52145 9
0.0004 1820 -0.849874 -0.849874 4.3589
0.0004 1840 0.392767 0.392767 1
0.0004 1860 -2.53921 -2.53921 4.12311
0.0004 1880 -1.23223 -1.23223 8.77496
0.0004 1900 -2.68934 -2.68934 1.73205
0.0004 1920 -2.875 -2.875 5.38516
0.0004 1940 -9.45711 -9.45711 4.12311
0.0004 1960 -7.39277 -7.39277 5.38516
0.0004 1980 -5.18934 -5.18934 3.60555
0.0004 2000 -2.89645 -2.89645 3.31662
