#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
5e-05 0 -20.9357 -20.9357 1
5e-05 20 -14.75 -14.75 2.23607
5e-05 40 -10.8928 -10.8928 4.12311
5e-05 60 -17.9142 -17.9142 3.31662
5e-05 80 -16.875 -16.875 2.23607
5e-05 100 -14.6464 -14.6464 1
5e-05 120 -14.3107 -14.3107 2.23607
5e-05 140 -14.5178 -14.5178 4.12311
5e-05 160 -16.8499 -16.8499 2.23607
5e-05 180 -12.5429 -12.5429 4.12311
5e-05 200 -17.875 -17.875 3
5e-05 220 -10.5784 -10.5784 4.12311
5e-05 240 -14.9645 -14.9645 2.23607
5e-05 260 -11.0999 -11.0999 3
5e-05 280 -14.3284 -14.3284 2.23607
5e-05 300 -13.5214 -13.5214 2.23607
5e-05 320 -12.6072 -12.6072 3
5e-05 340 -15.8787 -15.8787 3
5e-05 360 -14.2929 -14.2929 3.60555
5e-05 380 -11.9822 -11.9822 4.12311
5e-05 400 -12.2892 -12.2892 3
5e-05 420 -16.4822 -16.4822 3
5e-05 440 -13.9357 -13.9357 1.73205
5e-05 460 -16.0037 -16.0037 3.60555
5e-05 480 -15.3499 -15.3499 1.73205
5e-05 500 -15.6857 -15.6857 4.58258
5e-05 520 -13.9786 -13.9786 3
5e-05 540 -18.3499 -18.3499 2.23607
5e-05 560 -13.3321 -13.3321 2.23607
5e-05 580 -15.2929 -15.2929 4.58258
5e-05 600 -12.375 -12.375 3.31662
5e-05 620 -16.8284 -16.8284 2.23607
5e-05 640 -15.3964 -15.3964 3
5e-05 660 -16.1036 -16.1036 1.73205
5e-05 680 -13.1428 -13.1428 4.58258
5e-05 700 -13.7892 -13.7892 5
5e-05 720 -16.9749 -16.9749 1
5e-05 740 -18.375 -18.375 3
5e-05 760 -16.4357 -16.4357 2.23607
5e-05 780 -14.1679 -14.1679 2.23607
5e-05 800 -15.7463 -15.7463 2.23607
5e-05 820 -11.6857 -11.6857 4.12311
5e-05 840 -15.6716 -15.6716 1
5e-05 860 -19.7034 -19.7034 1
5e-05 880 -21.1464 -21.1464 1.73205
5e-05 900 -19.625 -19.625 3
5e-05 920 -19.0821 -19.0821 3.60555
5e-05 940 -15.0607 -15.0607 2.23607
5e-05 960 -15.0643 -15.0643 2.23607
5e-05 980 -15.5784 -15.5784 1
5e-05 1000 -12.1642 -12.1642 4.12311
5e-05 1020 -14.2108 -14.2108 1.73205
5e-05 1040 -16.0895 -16.0895 3
5e-05 1060 -13.5355 -13.5355 1.73205
5e-05 1080 -15.7751 -15.7751 1
5e-05 1100 -14.7855 -14.7855 1
5e-05 1120 -17.8964 -17.8964 2.23607
5e-05 1140 -13.3536 -13.3536 3.60555
5e-05 1160 -16.875 -16.875 1
5e-05 1180 -11.5178 -11.5178 3
5e-05 1200 -19.2286 -19.2286 1.73205
5e-05 1220 -12.4571 -12.4571 3.60555
5e-05 1240 -14.7892 -14.7892 2.23607
5e-05 1260 -17.4357 -17.4357 2.23607
5e-05 1280 -12.7892 -12.7892 4.12311
5e-05 1300 -15.3143 -15.3143 3.31662
5e-05 1320 -15.943 -15.943 2.23607
5e-05 1340 -18.9571 -18.9571 2.23607
5e-05 1360 -14.6857 -14.6857 1.73205
5e-05 1380 -15.8143 -15.8143 1.73205
5e-05 1400 -19.1753 -19.1753 1
5e-05 1420 -18.0466 -18.0466 3
5e-05 1440 -14.6893 -14.6893 3
5e-05 1460 -17.6324 -17.6324 1
5e-05 1480 -14.0429 -14.0429 1.73205
5e-05 1500 -16.4822 -16.4822 1.73205
5e-05 1520 -14.2678 -14.2678 1.73205
5e-05 1540 -12.6036 -12.6036 3.60555
5e-05 1560 -15.2286 -15.2286 4.12311
5e-05 1580 -14.4534 -14.4534 3
5e-05 1600 -17.1464 -17.1464 1
5e-05 1620 -13.4357 -13.4357 1
5e-05 1640 -18.1857 -18.1857 3
5e-05 1660 -16.2892 -16.2892 4.58258
5e-05 1680 -13.6857 -13.6857 3
5e-05 1700 -12.2286 -12.2286 1
5e-05 1720 -13.5214 -13.5214 2.23607
5e-05 1740 -15.0607 -15.0607 1.73205
5e-05 1760 -15.2071 -15.2071 3
5e-05 1780 -14 -14 1
5e-05 1800 -13.6428 -13.6428 2.23607
5e-05 1820 -12.5392 -12.5392 2.23607
5e-05 1840 -15.2929 -15.2929 3.31662
5e-05 1860 -11.0784 -11.0784 3
5e-05 1880 -10.2286 -10.2286 3.31662
5e-05 1900 -17.4786 -17.4786 2.23607
5e-05 1920 -14.4142 -14.4142 4.58258
5e-05 1940 -12.4749 -12.4749 2.23607
5e-05 1960 -13.9142 -13.9142 3
5e-05 1980 -17.0784 -17.0784 4.12311
5e-05 2000 -16.0821 -16.0821 3.31662
