#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
8.33333e-05 0 -10.375 -10.375 6.08276
8.33333e-05 20 -14.125 -14.125 1.73205
8.33333e-05 40 -11.7034 -11.7034 1
8.33333e-05 60 -10.3536 -10.3536 4.12311
8.33333e-05 80 -10.3107 -10.3107 3.31662
8.33333e-05 100 -12.0178 -12.0178 2.23607
8.33333e-05 120 -11.6464 -11.6464 1
8.33333e-05 140 -10.2892 -10.2892 2.23607
8.33333e-05 160 -10.875 -10.875 3.31662
8.33333e-05 180 -12.8321 -12.8321 4.58258
8.33333e-05 200 -6.93934 -6.93934 4.12311
8.33333e-05 220 -8.37132 -8.37132 2.23607
8.33333e-05 240 -9.375 -9.375 2.23607
8.33333e-05 260 -12.6642 -12.6642 2.23607
8.33333e-05 280 -9.41789 -9.41789 3
8.33333e-05 300 -8.53921 -8.53921 3.60555
8.33333e-05 320 -5.66421 -5.66421 3.31662
8.33333e-05 340 -9.09987 -9.09987 2.23607
8.33333e-05 360 -11.057 -11.057 1.73205
8.33333e-05 380 -5.41421 -5.41421 2.23607
8.33333e-05 400 -6.26777 -6.26777 3
8.33333e-05 420 -8.89277 -8.89277 3.31662
8.33333e-05 440 -11.8321 -11.8321 2.23607
8.33333e-05 460 -13.3891 -13.3891 1
8.33333e-05 480 -15.9357 -15.9357 1.73205
8.33333e-05 500 -14.8713 -14.8713 2.23607
8.33333e-05 520 -8.14277 -8.14277 3
8.33333e-05 540 -8.52513 -8.52513 3
8.33333e-05 560 -13.0214 -13.0214 3.60555
8.33333e-05 580 -10.0392 -10.0392 3
8.33333e-05 600 -11.3107 -11.3107 1.73205
8.33333e-05 620 -14.4571 -14.4571 2.23607
8.33333e-05 640 -13.2929 -13.2929 3.31662
8.33333e-05 660 -6.51777 -6.51777 3.31662
8.33333e-05 680 -9.28553 -9.28553 6.40312
8.33333e-05 700 -7.47487 -7.47487 6.40312
8.33333e-05 720 -5.85723 -5.85723 3
8.33333e-05 740 -7.96079 -7.96079 5.38516
8.33333e-05 760 -13.3143 -13.3143 1
8.33333e-05 780 -8.46079 -8.46079 3
8.33333e-05 800 -5.5 -5.5 3.60555
8.33333e-05 820 -10.5821 -10.5821 3.31662
8.33333e-05 840 -12.9786 -12.9786 3
8.33333e-05 860 -12.6569 -12.6569 1.73205
8.33333e-05 880 -12.0858 -12.0858 3
8.33333e-05 900 -8.76777 -8.76777 4.12311
8.33333e-05 920 -7.47855 -7.47855 2.23607
8.33333e-05 940 -13.2892 -13.2892 1.73205
8.33333e-05 960 -10.6213 -10.6213 4.3589
8.33333e-05 980 -10.2145 -10.2145 4.12311
8.33333e-05 1000 -9.74632 -9.74632 2.23607
8.33333e-05 1020 -11.2286 -11.2286 1
8.33333e-05 1040 -8.04289 -8.04289 1
8.33333e-05 1060 -14.0999 -14.0999 1
8.33333e-05 1080 -10.932 -10.932 1
8.33333e-05 1100 -15.5178 -15.5178 1.73205
8.33333e-05 1120 -8.72487 -8.72487 1.73205
8.33333e-05 1140 -9.72487 -9.72487 2.23607
8.33333e-05 1160 -12.1679 -12.1679 4.12311
8.33333e-05 1180 -9.32843 -9.32843 3
8.33333e-05 1200 -15.7463 -15.7463 2.23607
8.33333e-05 1220 -7.75 -7.75 5.38516
8.33333e-05 1240 -10.2322 -10.2322 5
8.33333e-05 1260 -11.0392 -11.0392 1.73205
8.33333e-05 1280 -9.53553 -9.53553 2.23607
8.33333e-05 1300 -10.5821 -10.5821 1.73205
8.33333e-05 1320 -7.27145 -7.27145 1.73205
8.33333e-05 1340 -13.0429 -13.0429 4.58258
8.33333e-05 1360 -14.8928 -14.8928 1
8.33333e-05 1380 -5.89277 -5.89277 5.38516
8.33333e-05 1400 -12.7071 -12.7071 4.58258
8.33333e-05 1420 -14.057 -14.057 3
8.33333e-05 1440 -9.41789 -9.41789 3
8.33333e-05 1460 -8.54289 -8.54289 4.12311
8.33333e-05 1480 -12.3928 -12.3928 4.12311
8.33333e-05 1500 -6.99632 -6.99632 5.38516
8.33333e-05 1520 -6.52145 -6.52145 3.31662
8.33333e-05 1540 -6.80698 -6.80698 3
8.33333e-05 1560 -10.0429 -10.0429 3.31662
8.33333e-05 1580 -7.125 -7.125 2.23607
8.33333e-05 1600 -13.0429 -13.0429 3
8.33333e-05 1620 -7.79289 -7.79289 5.74456
8.33333e-05 1640 -12.0607 -12.0607 1.73205
8.33333e-05 1660 -11.8572 -11.8572 4.12311
8.33333e-05 1680 -8.93566 -8.93566 3.31662
8.33333e-05 1700 -6.77145 -6.77145 5.38516
8.33333e-05 1720 -9.70343 -9.70343 4.58258
8.33333e-05 1740 -10.1428 -10.1428 3.31662
8.33333e-05 1760 -13.8499 -13.8499 1
8.33333e-05 1780 -10.1679 -10.1679 1.73205
8.33333e-05 1800 -10.5214 -10.5214 3
8.33333e-05 1820 -8.16421 -8.16421 1.73205
8.33333e-05 1840 -10.9393 -10.9393 3.31662
8.33333e-05 1860 -7.51777 -7.51777 2.23607
8.33333e-05 1880 -8.88909 -8.88909 3.31662
8.33333e-05 1900 -11.4142 -11.4142 2.23607
8.33333e-05 1920 -9.12132 -9.12132 3.31662
8.33333e-05 1940 -9.39277 -9.39277 3
8.33333e-05 1960 -12.2714 -12.2714 3.60555
8.33333e-05 1980 -14.8107 -14.8107 1
8.33333e-05 2000 -9.375 -9.375 1
