#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.5 0 -0.0489 0.0024
1.5 500 -0.14168 0.296
1.5 1000 -0.14542 0.4732
1.5 1500 -0.14448 0.4708
1.5 2000 -0.14372 0.4556
1.5 2500 -0.14446 0.4712
1.5 3000 -0.14566 0.4724
1.5 3500 -0.14564 0.4728
1.5 4000 -0.14648 0.4824
1.5 4500 -0.14634 0.4748
1.5 5000 -0.14542 0.4668
