#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
0.166667 0 -0.05028 0.0112
0.166667 500 -0.14596 0.3852
0.166667 1000 -0.14902 0.4808
0.166667 1500 -0.149 0.4836
0.166667 2000 -0.14896 0.4804
0.166667 2500 -0.14908 0.48
0.166667 3000 -0.14896 0.4808
0.166667 3500 -0.14884 0.474
0.166667 4000 -0.14902 0.4752
0.166667 4500 -0.14892 0.484
0.166667 5000 -0.14904 0.4796
