#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.83333 0 -0.04972 0.0008
1.83333 500 -0.13506 0.4088
1.83333 1000 -0.13734 0.43
1.83333 1500 -0.13888 0.4544
1.83333 2000 -0.13728 0.4488
1.83333 2500 -0.13732 0.4412
1.83333 3000 -0.13816 0.4428
1.83333 3500 -0.1371 0.4404
1.83333 4000 -0.13884 0.4556
1.83333 4500 -0.14112 0.4584
1.83333 5000 -0.1394 0.4512
