#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
2.16667 0 -0.04858 0.002
2.16667 500 -0.12202 0.0384
2.16667 1000 -0.11684 0.2468
2.16667 1500 -0.12284 0.3088
2.16667 2000 -0.1164 0.2232
2.16667 2500 -0.12234 0.2844
2.16667 3000 -0.1203 0.2504
2.16667 3500 -0.12054 0.2492
2.16667 4000 -0.1202 0.322
2.16667 4500 -0.12736 0.3212
2.16667 5000 -0.11924 0.1016
