#T(K) E_av Esqrd_av P_av Psqrd_av Cv
750 -6.24271 0 0.0402388 0 0
650 -2.00875 0 0.0855742 0 0
550 -2.2882 0 0.458534 0 0
450 -1.4902 0 0.47144 0 0
350 -0.879477 0 0.478018 0 0
250 -0.316784 0 0.173543 0 0
150 -0.149306 0 0.479052 0 0
50 -0.149338 0 0.480559 0 0
