#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.83333 0 -0.137963 0.796148
1.83333 500 -0.144289 0.813926
1.83333 1000 -0.14223 0.81037
1.83333 1500 -0.143578 0.820444
1.83333 2000 -0.14137 0.797926
1.83333 2500 -0.143207 0.812148
1.83333 3000 -0.141385 0.803259
1.83333 3500 -0.143193 0.827556
1.83333 4000 -0.143267 0.811556
1.83333 4500 -0.140452 0.808593
1.83333 5000 -0.142496 0.816889
