#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
0.166667 0 -0.145148 0.816889
0.166667 500 -0.144941 0.809185
0.166667 1000 -0.145341 0.820444
0.166667 1500 -0.144763 0.799704
0.166667 2000 -0.144867 0.803259
0.166667 2500 -0.145059 0.812741
0.166667 3000 -0.144926 0.809185
0.166667 3500 -0.144615 0.800296
0.166667 4000 -0.145148 0.823407
0.166667 4500 -0.145089 0.821037
0.166667 5000 -0.144881 0.806222
