#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
3.83333 0 -0.0522 0.159111
3.83333 500 -0.0797556 0.570963
3.83333 1000 -0.0773111 0.525333
3.83333 1500 -0.0779481 0.543704
3.83333 2000 -0.0731926 0.536
3.83333 2500 -0.0837556 0.573333
3.83333 3000 -0.0790296 0.524741
3.83333 3500 -0.0727185 0.495111
3.83333 4000 -0.0804074 0.53363
3.83333 4500 -0.0721556 0.524148
3.83333 5000 -0.0781259 0.55437
