#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
5.16667 0 -0.00214074 0.0204444
5.16667 500 -0.0357704 0.0488889
5.16667 1000 -0.0370444 0.0352593
5.16667 1500 -0.0326 0.0512593
5.16667 2000 -0.0333704 0.0471111
5.16667 2500 -0.0342296 0.00740741
5.16667 3000 -0.0301407 0.0168889
5.16667 3500 -0.0343037 0.0311111
5.16667 4000 -0.0316667 0.0974815
5.16667 4500 -0.0334889 0.0139259
5.16667 5000 -0.0361407 0.0340741
