# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.321606 0.321158 1 0.512245 0.633162
2 0.109349 0.105152 1 0.295749 0.417982
3 0.0380299 0.0368144 1 0.179599 0.278242
4 0.0136786 0.0148233 1 0.114622 0.186495
5 0.00737138 0.00950873 1 0.0715492 0.122966
6 0.00650016 0.00270942 1 0.0443675 0.081384
7 0.00512769 -0.00058898 1 0.0268497 0.0557648
8 0.000927925 0.00150679 1 0.019689 0.0393522
9 0.000749583 -0.00117569 1 0.0134865 0.0270706
10 -0.00117803 -0.00338372 1 0.0110808 0.0181388
11 -0.00403264 -1.93365e-05 1 0.00658582 0.012783
12 -0.00279714 -0.00186101 1 0.00483764 0.00731335
13 -0.00441816 -0.00173964 1 0.0041334 0.00356648
14 -0.00515353 0.00332798 1 0.00300561 0.00235449
15 -0.00142771 0.00342811 1 0.000723558 0.000212572
16 -0.00675633 0.00254747 1 0.00224236 -0.000665917
17 -0.0028829 0.00208668 1 0.00249134 -0.00221222
18 -0.00377461 0.00426095 1 0.000746362 -0.00355915
19 -9.65924e-05 0.00457422 1 0.000970144 -0.00393107
20 0.00239754 -0.000259406 1 -0.00188458 -0.00207993
21 0.0039457 0.000312134 1 -0.00280323 -0.0011453
22 -0.000297322 -0.000256372 1 -0.0055261 0.000296301
23 -0.00127023 -0.00057874 1 -0.00709867 0.000469068
24 -0.00526889 -0.00136228 1 -0.00579768 0.000254794
25 -0.00252432 0.00121704 1 -0.00379379 -0.000772375
26 0.000429706 0.00258919 1 -0.00219944 0.00149852
27 -0.0023418 0.000518449 1 -0.000443373 0.00160879
28 -0.00248448 -0.00114042 1 0.000164265 -0.000512962
29 -0.00393701 0.000711491 1 -0.00120722 -0.00323667
30 0.000764761 0.000783929 1 -0.000650222 -0.00292626
31 0.000876699 0.00102096 1 0.000984432 -0.00356524
32 0.00139199 -0.00152992 1 -0.00181838 -0.00468116
33 0.000533296 0.000781274 1 -0.000135251 -0.00200621
34 0.00237781 0.000200253 1 -0.00268332 -0.000524661
35 0.00264115 -0.00169186 1 -0.00254225 0.00150896
36 -0.00160908 -0.00427384 1 -0.00211913 0.000751677
37 0.00339284 -0.00176923 1 -0.00181235 0.00108498
38 0.000886944 -0.000770644 1 0.00168413 0.0013328
39 -0.000983369 0.00131185 1 0.00290436 0.00113959
40 -0.00275427 0.00673029 1 0.00401166 0.000410722
41 -0.00096895 0.00440052 1 0.00135117 0.000484987
42 0.00198204 0.000945113 1 0.00234537 -0.00014895
43 -0.00124747 0.000667497 1 0.00119498 0.000366081
44 -0.000564835 0.00124852 1 0.00119287 0.00186891
45 0.00293484 -0.00181284 1 -0.00150566 0.00104895
46 0.00721732 -0.00459165 1 -0.00130813 0.0010142
47 0.00247646 -0.00308487 1 -0.000617982 0.00231416
48 0.0011131 -0.000162316 1 0.00306615 0.00320685
49 0.00128195 0.00384908 1 0.00258429 0.00224052
50 0.000141323 0.00386653 1 0.00221285 -0.000609969
51 8.82002e-05 0.00153789 1 -0.000274426 -0.00281332
52 -0.00128845 -0.000358392 1 0.00287009 -0.0059545
53 -0.0030916 -0.00165469 1 0.00397826 -0.00621937
54 -0.00267762 -0.000399352 1 0.00537555 -0.00420372
55 -0.00201889 0.000963317 1 0.00801808 -0.00352887
56 -0.00215322 0.00509001 1 0.00800799 -0.00324185
57 -0.00316559 0.00674812 1 0.00586059 -0.00320027
58 -0.000246096 0.00296996 1 0.00643362 -0.00154261
59 -0.000393702 -0.00120527 1 0.006004 -0.000979736
60 -0.003989 0.00146545 1 0.00610829 0.00014755
61 0.00152822 0.000533999 1 0.00536544 0.00154116
62 -0.00273871 0.00174307 1 0.00906986 0.00410489
63 -0.00153205 0.000570787 1 0.00909381 0.0017855
64 0.00102431 -0.00201005 1 0.00609025 0.000571265
65 -0.000325781 -0.00198313 1 0.00442239 0.00355529
66 0.00351616 -0.00592664 1 0.00118848 0.00234555
67 0.00046803 -0.00761888 1 0.00104807 0.0014314
68 0.00273449 -0.00649325 1 0.000148481 0.00106099
69 0.00150583 -0.00339813 1 -0.00124875 0.00411587
70 -0.00080996 0.00165053 1 -0.000126459 0.00310918
71 -0.00258579 0.0035013 1 0.000522714 0.00294169
72 -0.00231524 0.000870779 1 0.00330831 0.00305124
73 -0.0012782 -0.00019076 1 0.00353528 0.00304297
74 -0.00317546 0.000705802 1 0.00453113 0.00473857
75 -0.00368923 0.00326503 1 0.0055898 0.00571546
76 -0.00107899 0.00378764 1 0.00322674 0.00330015
77 -0.00325932 0.00404212 1 0.00290084 0.00272168
78 -0.00309539 0.00141198 1 -5.34484e-05 0.00199032
79 -0.00221393 -0.000213895 1 0.00045872 0.00144775
80 0.000776903 -0.00223306 1 -0.000819239 0.000544358
81 0.00282556 -0.00166683 1 -2.12114e-05 -0.00051485
82 -0.00244919 -4.32296e-05 1 0.000112244 -0.00147054
83 -0.00096857 -0.000533988 1 0.000442649 -0.000720258
84 -0.00127175 0.00221676 1 0.00317376 -0.00111691
85 -0.000272658 0.00578026 1 0.00265393 -0.000960895
86 0.00241499 0.0056661 1 0.00300393 -0.0020697
87 -8.21733e-05 0.0028065 1 0.00159926 -0.000969943
88 -0.00206177 0.00297869 1 0.00266176 -0.00220592
89 0.000329151 0.00403681 1 0.00215499 -0.00196964
90 0.00141172 0.00173093 1 0.000399082 -0.0017294
91 -0.000273037 0.00152841 1 0.000537968 -0.000730537
92 -0.000682844 -0.000532091 1 -0.00139514 0.00103748
93 -0.000674496 -0.000658763 1 -0.00409379 0.00261747
94 0.000803465 -0.00220272 1 -0.00241062 0.0040563
95 -0.000112529 -0.0025706 1 -0.0012667 0.00550595
96 -0.000131502 -0.00311976 1 -0.00254772 0.00548936
97 0.000101481 0.0022399 1 -0.00355029 0.00257431
98 -0.000682465 0.00307767 1 -0.00308367 0.00156291
99 -0.000698781 0.000859401 1 -0.00355899 0.00121105
100 1.00051 0.698155 0.999298 3393.74 -0.00156007
