#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
8.33333e-05 0 -45.3195 -45.3195 3.4641
8.33333e-05 20 -42.3802 -42.3802 6.78233
8.33333e-05 40 -42.8624 -42.8624 8.83176
8.33333e-05 60 -36.8159 -36.8159 4.24264
8.33333e-05 80 -34.2981 -34.2981 10.198
8.33333e-05 100 -27.9001 -27.9001 9.05539
8.33333e-05 120 -40.2197 -40.2197 6.63325
8.33333e-05 140 -37.6464 -37.6464 8.3666
8.33333e-05 160 -41.0414 -41.0414 5.83095
8.33333e-05 180 -44.6909 -44.6909 3.74166
8.33333e-05 200 -36.5732 -36.5732 6.16441
8.33333e-05 220 -37.4409 -37.4409 2.44949
8.33333e-05 240 -46.5141 -46.5141 8.83176
8.33333e-05 260 -44.4069 -44.4069 7.87401
8.33333e-05 280 -42.5747 -42.5747 4.47214
8.33333e-05 300 -44.2907 -44.2907 5.09902
8.33333e-05 320 -44.0015 -44.0015 2.44949
8.33333e-05 340 -35.5481 -35.5481 4.24264
8.33333e-05 360 -37.6051 -37.6051 4.69042
8.33333e-05 380 -33.4283 -33.4283 2.44949
8.33333e-05 400 -34.2907 -34.2907 7.07107
8.33333e-05 420 -28.9749 -28.9749 7.34847
8.33333e-05 440 -40.0052 -40.0052 4.24264
8.33333e-05 460 -42.7929 -42.7929 2.44949
8.33333e-05 480 -37.1036 -37.1036 7.07107
8.33333e-05 500 -35.6391 -35.6391 2.82843
8.33333e-05 520 -49.7019 -49.7019 2.44949
8.33333e-05 540 -39.0178 -39.0178 5.09902
8.33333e-05 560 -37.0392 -37.0392 1.41421
8.33333e-05 580 -51.5947 -51.5947 1.41421
8.33333e-05 600 -49.8483 -49.8483 4.47214
8.33333e-05 620 -42.0371 -42.0371 7.48331
8.33333e-05 640 -42.7678 -42.7678 5.83095
8.33333e-05 660 -34.0947 -34.0947 4.24264
8.33333e-05 680 -40.3373 -40.3373 6.63325
8.33333e-05 700 -39.0836 -39.0836 6.48074
8.33333e-05 720 -39.9017 -39.9017 6.48074
8.33333e-05 740 -37.9194 -37.9194 7.48331
8.33333e-05 760 -41.5784 -41.5784 6.78233
8.33333e-05 780 -43.2086 -43.2086 5.83095
8.33333e-05 800 -39.125 -39.125 2.44949
8.33333e-05 820 -43.2249 -43.2249 6.16441
8.33333e-05 840 -40.0622 -40.0622 5.09902
8.33333e-05 860 -40.1339 -40.1339 1.41421
8.33333e-05 880 -33.2855 -33.2855 2.44949
8.33333e-05 900 -40.9409 -40.9409 5.47723
8.33333e-05 920 -38.9357 -38.9357 5.09902
8.33333e-05 940 -43.8195 -43.8195 3.74166
8.33333e-05 960 -19.7338 -19.7338 5.47723
8.33333e-05 980 -29.4497 -29.4497 2.44949
8.33333e-05 1000 -38.3661 -38.3661 1.41421
8.33333e-05 1020 -31.648 -31.648 5.09902
8.33333e-05 1040 -28.4268 -28.4268 3.4641
8.33333e-05 1060 -39.2966 -39.2966 3.74166
8.33333e-05 1080 -43.2537 -43.2537 7.87401
8.33333e-05 1100 -38.3499 -38.3499 4.47214
8.33333e-05 1120 -35.3373 -35.3373 3.4641
8.33333e-05 1140 -41.3536 -41.3536 4.47214
8.33333e-05 1160 -39.2249 -39.2249 4.24264
8.33333e-05 1180 -33.841 -33.841 2.44949
8.33333e-05 1200 -40.9963 -40.9963 9.27362
8.33333e-05 1220 -34.2086 -34.2086 4.89898
8.33333e-05 1240 -40.3159 -40.3159 2.82843
8.33333e-05 1260 -33.6857 -33.6857 8.12404
8.33333e-05 1280 -34.5141 -34.5141 3.74166
8.33333e-05 1300 -37.2034 -37.2034 3.16228
8.33333e-05 1320 -46.9675 -46.9675 7.07107
8.33333e-05 1340 -37.5251 -37.5251 2
8.33333e-05 1360 -40.341 -40.341 4.24264
8.33333e-05 1380 -30.8321 -30.8321 5.65685
8.33333e-05 1400 -38.7322 -38.7322 3.16228
8.33333e-05 1420 -38.7981 -38.7981 10.4881
8.33333e-05 1440 -32.7034 -32.7034 4.89898
8.33333e-05 1460 -38.9586 -38.9586 4.89898
8.33333e-05 1480 -23.8284 -23.8284 5.83095
8.33333e-05 1500 -36.6553 -36.6553 4.89898
8.33333e-05 1520 -36.5481 -36.5481 3.16228
8.33333e-05 1540 -25.5355 -25.5355 11.5758
8.33333e-05 1560 -35.0732 -35.0732 3.74166
8.33333e-05 1580 -38.2249 -38.2249 3.74166
8.33333e-05 1600 -36.7338 -36.7338 1.41421
8.33333e-05 1620 -38.2552 -38.2552 5.09902
8.33333e-05 1640 -50.1909 -50.1909 7.34847
8.33333e-05 1660 -35.8928 -35.8928 5.65685
8.33333e-05 1680 -44.7374 -44.7374 2
8.33333e-05 1700 -39.2678 -39.2678 3.74166
8.33333e-05 1720 -41.6124 -41.6124 11.6619
8.33333e-05 1740 -42.9069 -42.9069 7.61577
8.33333e-05 1760 -41.568 -41.568 2.44949
8.33333e-05 1780 -49.3624 -49.3624 5.09902
8.33333e-05 1800 -33.7981 -33.7981 8.60233
8.33333e-05 1820 -41.1857 -41.1857 7.07107
8.33333e-05 1840 -33.6945 -33.6945 2.44949
8.33333e-05 1860 -36.682 -36.682 5.47723
8.33333e-05 1880 -33.2249 -33.2249 9.27362
8.33333e-05 1900 -27.2286 -27.2286 9.05539
8.33333e-05 1920 -34.6051 -34.6051 11.7473
8.33333e-05 1940 -38.4712 -38.4712 7.2111
8.33333e-05 1960 -42.5429 -42.5429 6.48074
8.33333e-05 1980 -38.2374 -38.2374 2
8.33333e-05 2000 -26.9623 -26.9623 8.12404
