#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
7.5e-05 0 -30.182 -30.182 4.69042
7.5e-05 20 -46.3107 -46.3107 8.24621
7.5e-05 40 -45.7877 -45.7877 6.16441
7.5e-05 60 -44.8536 -44.8536 8.24621
7.5e-05 80 -46.3159 -46.3159 4.47214
7.5e-05 100 -45.4519 -45.4519 6.78233
7.5e-05 120 -35.239 -35.239 1.41421
7.5e-05 140 -44.9926 -44.9926 5.09902
7.5e-05 160 -46.1945 -46.1945 3.74166
7.5e-05 180 -42.4053 -42.4053 2.82843
7.5e-05 200 -44.9357 -44.9357 5.83095
7.5e-05 220 -42.9445 -42.9445 5.65685
7.5e-05 240 -43.9268 -43.9268 3.4641
7.5e-05 260 -41.1302 -41.1302 5.09902
7.5e-05 280 -42.0199 -42.0199 4.89898
7.5e-05 300 -50.7448 -50.7448 2.82843
7.5e-05 320 -41.2552 -41.2552 7.07107
7.5e-05 340 -37.8676 -37.8676 5.09902
7.5e-05 360 -40.4838 -40.4838 4.24264
7.5e-05 380 -44.182 -44.182 3.4641
7.5e-05 400 -39.8232 -39.8232 10.8628
7.5e-05 420 -40.909 -40.909 4.89898
7.5e-05 440 -48.2212 -48.2212 4.69042
7.5e-05 460 -42.1768 -42.1768 4.47214
7.5e-05 480 -54.7693 -54.7693 6.16441
7.5e-05 500 -47.5251 -47.5251 8.12404
7.5e-05 520 -36.8713 -36.8713 11.4891
7.5e-05 540 -45.4697 -45.4697 2.44949
7.5e-05 560 -33.4586 -33.4586 6.78233
7.5e-05 580 -35.9001 -35.9001 6.32456
7.5e-05 600 -43.9409 -43.9409 5.83095
7.5e-05 620 -55.3603 -55.3603 7.07107
7.5e-05 640 -44.2589 -44.2589 5.47723
7.5e-05 660 -32.4786 -32.4786 6.78233
7.5e-05 680 -41.1553 -41.1553 2.44949
7.5e-05 700 -44.0784 -44.0784 1.41421
7.5e-05 720 -42.0806 -42.0806 2.82843
7.5e-05 740 -30.6339 -30.6339 6.78233
7.5e-05 760 -53.1679 -53.1679 6.16441
7.5e-05 780 -38.4069 -38.4069 4.47214
7.5e-05 800 -43.9623 -43.9623 8.24621
7.5e-05 820 -37.2197 -37.2197 7.07107
7.5e-05 840 -38.2678 -38.2678 1.41421
7.5e-05 860 -43.6302 -43.6302 9.16515
7.5e-05 880 -53.4926 -53.4926 7.2111
7.5e-05 900 -45.9801 -45.9801 3.74166
7.5e-05 920 -36.1464 -36.1464 7.87401
7.5e-05 940 -38.8159 -38.8159 1.41421
7.5e-05 960 -27.432 -27.432 12.083
7.5e-05 980 -37.716 -37.716 5.47723
7.5e-05 1000 -41.9681 -41.9681 2.44949
7.5e-05 1020 -50.3284 -50.3284 6
7.5e-05 1040 -34.3713 -34.3713 3.74166
7.5e-05 1060 -34.9482 -34.9482 11.0454
7.5e-05 1080 -47.3891 -47.3891 8.12404
7.5e-05 1100 -40.5983 -40.5983 9.89949
7.5e-05 1120 -42.0947 -42.0947 6.48074
7.5e-05 1140 -36.0784 -36.0784 10
7.5e-05 1160 -47.3483 -47.3483 4.24264
7.5e-05 1180 -43.6605 -43.6605 5.09902
7.5e-05 1200 -38.7338 -38.7338 3.74166
7.5e-05 1220 -42.3876 -42.3876 8.83176
7.5e-05 1240 -42.9231 -42.9231 3.16228
7.5e-05 1260 -43.8336 -43.8336 7.34847
7.5e-05 1280 -48.7662 -48.7662 5.09902
7.5e-05 1300 -46.6213 -46.6213 5.83095
7.5e-05 1320 -34.4231 -34.4231 3.74166
7.5e-05 1340 -48.7338 -48.7338 3.74166
7.5e-05 1360 -39.091 -39.091 6.16441
7.5e-05 1380 -56.2485 -56.2485 7.07107
7.5e-05 1400 -37.3269 -37.3269 10.6771
7.5e-05 1420 -35.9497 -35.9497 1.41421
7.5e-05 1440 -40.682 -40.682 2.82843
7.5e-05 1460 -40.3624 -40.3624 6.78233
7.5e-05 1480 -43.9733 -43.9733 5.83095
7.5e-05 1500 -33.057 -33.057 5.47723
7.5e-05 1520 -52.2714 -52.2714 4.47214
7.5e-05 1540 -34.0429 -34.0429 6.16441
7.5e-05 1560 -41.4445 -41.4445 3.74166
7.5e-05 1580 -36.4534 -36.4534 10.7703
7.5e-05 1600 -40.1909 -40.1909 2.82843
7.5e-05 1620 -37.2641 -37.2641 6.16441
7.5e-05 1640 -37.6161 -37.6161 7.07107
7.5e-05 1660 -50.4733 -50.4733 7.34847
7.5e-05 1680 -43.2803 -43.2803 6.63325
7.5e-05 1700 -35.3447 -35.3447 5.09902
7.5e-05 1720 -38.7071 -38.7071 5.09902
7.5e-05 1740 -36.8787 -36.8787 7.2111
7.5e-05 1760 -40.9305 -40.9305 4.47214
7.5e-05 1780 -48.0178 -48.0178 3.74166
7.5e-05 1800 -32.9482 -32.9482 4.89898
7.5e-05 1820 -40.9142 -40.9142 8.24621
7.5e-05 1840 -40.3159 -40.3159 3.74166
7.5e-05 1860 -47.4853 -47.4853 3.16228
7.5e-05 1880 -33.3499 -33.3499 5.83095
7.5e-05 1900 -45.3964 -45.3964 5.09902
7.5e-05 1920 -44.807 -44.807 5.09902
7.5e-05 1940 -46.0178 -46.0178 3.74166
7.5e-05 1960 -42.5429 -42.5429 2.44949
7.5e-05 1980 -55.0156 -55.0156 5.47723
7.5e-05 2000 -37.3839 -37.3839 4.24264
