# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.331622 0.32862 1 0.559508 0.692933
2 0.117039 0.111626 1 0.341636 0.504386
3 0.0422726 0.0359685 1 0.220106 0.370376
4 0.0167782 0.00935893 1 0.14702 0.273342
5 0.00455759 0.00112521 1 0.101178 0.200147
6 0.00128963 -0.000869574 1 0.0739781 0.147984
7 -0.00422282 0.00407586 1 0.0532704 0.108724
8 -0.000518609 0.00320265 1 0.0366117 0.0804864
9 0.00151897 0.00340556 1 0.0263658 0.0592921
10 0.0011623 2.59518e-05 1 0.0197969 0.0440877
11 -0.00183755 -0.000886518 1 0.0175041 0.0327183
12 -0.00173961 -0.00275857 1 0.0144284 0.0249433
13 -0.000650013 0.00334192 1 0.00989711 0.0177327
14 0.00185075 0.00497345 1 0.00911082 0.0145458
15 0.00154305 0.00372707 1 0.00844499 0.00963827
16 0.00185605 0.00530365 1 0.00558284 0.00600269
17 0.000280834 0.00615537 1 0.00414718 0.00610354
18 0.00183401 0.00229184 1 0.00258818 0.00418189
19 -0.00313363 0.0048627 1 0.00356706 0.00361979
20 -0.00291163 0.000599138 1 0.0057961 0.00287112
21 -0.00331115 -0.002635 1 0.00541418 0.0022177
22 -0.00295571 0.00175915 1 0.00361981 0.00169827
23 -0.00343888 0.00065906 1 0.00104669 0.00176505
24 0.0006273 0.00189098 1 0.00184365 0.00227069
25 -0.00187876 3.79362e-05 1 0.000313726 0.00190888
26 1.14961e-05 0.000966109 1 0.00203116 0.00402936
27 -0.000250904 -0.000732373 1 -0.000706791 0.00629623
28 0.00197276 0.00254929 1 -0.000114594 0.00621152
29 -0.000839774 0.00285345 1 0.000531895 0.00693914
30 -0.0013862 0.00195214 1 0.00133526 0.00740269
31 -0.00187387 0.00390643 1 0.000577051 0.00807594
32 0.000541602 0.00199884 1 -0.00161276 0.0091129
33 -0.00152454 0.000440034 1 -0.000352283 0.0108114
34 -0.0017241 -0.000614595 1 -0.0012585 0.00994125
35 0.00216824 -0.00345986 1 0.0029902 0.0098375
36 0.00385445 0.0022158 1 0.00444843 0.0109465
37 0.00334394 0.00172402 1 0.00216597 0.0115287
38 -0.000352518 0.00358533 1 0.00106691 0.0107963
39 -0.000670826 0.00168848 1 -0.000126466 0.00979967
40 -0.00212647 0.000150755 1 -0.00165315 0.00902931
41 -2.52317e-05 3.42169e-05 1 -0.00275159 0.00833923
42 0.00131003 0.00207322 1 -0.0058116 0.00774734
43 0.00192216 0.00324191 1 -0.00549115 0.00432571
44 0.0046894 0.00235176 1 -0.00421863 0.00151839
45 0.0038618 -0.00262963 1 -0.00628014 -0.000700096
46 0.00151326 0.000613602 1 -0.00743752 -0.000761632
47 -0.00283206 0.00233771 1 -0.00544464 -0.000632583
48 -0.00161596 -0.00132044 1 -0.00365985 -0.00265049
49 0.00480162 -0.000546821 1 -0.00243141 -0.00296297
50 0.00465594 0.00419033 1 -0.00220903 -0.00155687
51 0.00639561 0.00701039 1 0.000952027 -0.00014908
52 0.00327864 0.00161079 1 0.00309297 0.000820223
53 0.00501791 0.00185709 1 0.00515653 -0.000287266
54 0.00116189 0.000768986 1 -0.00102615 -0.00215468
55 0.00236698 0.00212695 1 -0.00263646 -0.00245047
56 0.00142511 0.00276047 1 -0.0053752 -0.0031035
57 0.0011623 -0.000654268 1 -0.00281087 -0.004353
58 0.000278385 -0.00100554 1 -0.00474765 -0.00502992
