# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.34719 0.349058 1.00001 0.648935 0.781162
2 0.12693 0.129143 1.00002 0.453982 0.632133
3 0.0491795 0.0485073 1.00002 0.32871 0.516665
4 0.0179272 0.0190543 1.00002 0.245372 0.426034
5 0.00981056 0.00731991 1.00002 0.184236 0.352386
6 0.00556575 0.00186966 1.00002 0.142548 0.293737
7 0.000921068 0.00183655 1.00002 0.112085 0.2455
8 0.00060655 -0.00106286 1.00002 0.0871372 0.205712
9 0.00222912 0.00110862 1.00002 0.0683332 0.173064
10 0.000951718 0.000523065 1.00002 0.0570947 0.143981
11 0.00199005 -0.00134713 1.00002 0.046384 0.120356
12 -0.000710935 -0.00294962 1.00002 0.037632 0.100661
13 -0.00154179 -0.00111016 1.00002 0.0304157 0.0827731
14 -0.00109901 -0.000395951 1.00002 0.0238465 0.0687679
15 0.000641444 -5.11427e-05 1.00002 0.0204452 0.0572056
16 -0.00162478 -0.000502374 1.00002 0.0174109 0.0461055
17 -0.00122916 0.000594959 1.00002 0.0163889 0.0360146
18 0.000566469 -0.000132024 1.00002 0.0124099 0.0291722
19 -0.00229531 -0.00296239 1.00002 0.011469 0.0238347
20 -0.00471903 -0.00243737 1.00002 0.00934114 0.0178638
21 -0.0066632 -0.00538219 1.00002 0.00778938 0.0137102
22 -0.0044413 0.000840913 1.00002 0.00528246 0.00927541
23 -0.00544615 -0.00108746 1.00002 0.00588125 0.0053516
24 -0.00344069 -0.0032055 1.00002 0.00720873 0.00348439
25 0.00135866 -0.00445656 1.00002 0.00530942 0.00201131
26 5.81481e-05 -0.0036345 1.00002 0.00149839 0.00226793
27 -0.0018035 -0.000874142 1.00002 -0.000785376 0.00253539
28 -0.00124802 0.00123397 1.00002 -0.000634883 0.00370443
29 0.00312977 0.00087355 1.00002 -0.00147784 0.00413096
30 0.00467784 0.00490246 1.00002 -0.00164502 0.00397533
31 -0.000790626 0.00447961 1.00002 -0.000550059 0.0027225
32 0.000187822 0.000538674 1.00002 -0.00089191 0.00211916
33 0.00284165 0.00028799 1.00002 -0.000658191 0.00112207
34 -0.0018615 -0.00053974 1.00002 0.00241586 0.00152407
35 -0.00142108 -0.0043279 1.00002 0.00491484 0.000151046
36 -0.00314173 -0.00508894 1.00002 0.00549459 -0.00155717
37 -0.00255749 -0.00552315 1.00002 0.00455216 -0.00352666
38 -0.00131356 -0.0017364 1.00002 0.00449429 -0.0052624
39 0.000620697 -0.00339943 1.00002 0.00366573 -0.00650405
40 -0.00230144 -0.00282144 1.00002 0.00465783 -0.00765664
41 -0.00153189 -0.0025348 1.00002 0.00331618 -0.00909734
42 0.000234504 -0.00302671 1.00002 0.0037224 -0.00849994
43 -0.00032993 -0.00209351 1.00002 0.00297732 -0.00903367
44 0.000760273 -0.00222263 1.00002 0.000123279 -0.0092222
45 -0.00265368 -0.000760152 1.00002 0.000739264 -0.00852443
46 0.00303357 0.00106369 1.00002 -0.000303568 -0.00788639
47 0.00237719 0.00368736 1.00002 -0.00086914 -0.00762388
48 0.000166603 0.00468915 1.00002 -0.00157704 -0.00654722
49 0.0035617 0.00434008 1.00002 -0.00284497 -0.00614366
50 0.00135206 0.0020196 1.00002 -0.00406022 -0.00470821
51 -0.00108911 -0.000184525 1.00002 -0.00276678 -0.00268636
52 -0.00358828 -0.00175485 1.00002 -0.00219937 -0.00104152
53 0.00222111 -0.00417134 1.00002 -0.00306757 0.0013305
54 0.00478346 -0.00283137 1.00002 -0.00504248 0.00212455
55 0.00303357 0.000809223 1.00002 -0.00571293 0.00184724
56 0.00303593 0.00132383 1.00002 -0.00521035 0.00101992
57 0.00116721 0.00302517 1.00002 -0.00283812 0.000645848
58 0.000831475 0.0030947 1.00002 -0.00254848 0.000293129
59 -0.00132205 0.0024784 1.00002 -0.000571291 0.000876243
60 0.000286845 -0.000710015 1.00002 -0.000300004 0.00124732
61 0.00201316 -0.00374802 1.00002 0.0013496 0.000919663
62 0.0027398 -0.00350774 1.00002 -0.00154049 0.000839532
63 0.00174061 -0.0021252 1.00002 5.5542e-05 -8.18631e-05
64 0.000164716 -0.00360943 1.00002 0.000243923 -0.00057222
65 -0.00248346 3.16303e-05 1.00002 0.00241341 -0.000755216
66 0.00292417 -0.00354038 1.00002 0.00188108 -0.00128366
67 -0.000579375 0.00129451 1.00002 0.0020611 -0.00314029
68 0.000222716 -0.000730354 1.00002 0.00159026 -0.00467403
69 0.00365082 -0.00129321 1.00002 0.00220371 -0.00666864
70 0.00500556 -0.000201553 1.00002 0.00223782 -0.00859298
71 0.00113185 -0.00202209 1.00002 0.00178247 -0.0087069
72 -0.000760447 -0.00363403 1.00002 0.00138199 -0.00925768
73 -0.00152246 -0.0015789 1.00002 0.00105703 -0.00819733
74 -0.00425409 -0.00277556 1.00002 -0.000849471 -0.00726444
75 -0.00482419 -0.00193647 1.00002 -0.0032581 -0.00684684
76 -0.00632322 -0.00370072 1.00002 0.000486697 -0.00590505
77 -0.0052929 0.00158398 1.00002 0.0017648 -0.00420579
