#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
5e-05 0 -68.5015 -68.5015 7.07107
5e-05 20 -59.148 -59.148 2
5e-05 40 -56.3018 -56.3018 5.09902
5e-05 60 -55.1517 -55.1517 2.44949
5e-05 80 -56.2212 -56.2212 7.34847
5e-05 100 -51.7086 -51.7086 7.48331
5e-05 120 -48.7678 -48.7678 5.47723
5e-05 140 -66.1605 -66.1605 7.48331
5e-05 160 -51.6464 -51.6464 7.07107
5e-05 180 -54.5 -54.5 2.44949
5e-05 200 -51.5784 -51.5784 2.82843
5e-05 220 -56.5052 -56.5052 8.24621
5e-05 240 -52.3713 -52.3713 5.09902
5e-05 260 -56.2181 -56.2181 6.16441
5e-05 280 -49.2767 -49.2767 7.2111
5e-05 300 -58.5674 -58.5674 3.16228
5e-05 320 -58.1872 -58.1872 1.41421
5e-05 340 -58.5643 -58.5643 4.24264
5e-05 360 -46.6716 -46.6716 2.44949
5e-05 380 -55.784 -55.784 5.47723
5e-05 400 -56.8505 -56.8505 5.09902
5e-05 420 -65.0533 -65.0533 5.47723
5e-05 440 -60.4482 -60.4482 8.3666
5e-05 460 -52.6339 -52.6339 5.47723
5e-05 480 -50.523 -50.523 3.16228
5e-05 500 -58.7745 -58.7745 3.16228
5e-05 520 -54.7745 -54.7745 1.41421
5e-05 540 -53.864 -53.864 1.41421
5e-05 560 -53.9053 -53.9053 1.41421
5e-05 580 -48.8676 -48.8676 4.89898
5e-05 600 -63.5852 -63.5852 4.24264
5e-05 620 -59.9032 -59.9032 7.07107
5e-05 640 -53.1982 -53.1982 3.74166
5e-05 660 -64.9393 -64.9393 3.16228
5e-05 680 -53.8321 -53.8321 2.44949
5e-05 700 -53.6213 -53.6213 3.74166
5e-05 720 -64.4608 -64.4608 3.16228
5e-05 740 -65.0769 -65.0769 2.44949
5e-05 760 -55.2714 -55.2714 2.44949
5e-05 780 -62.625 -62.625 3.74166
5e-05 800 -58.9075 -58.9075 2
5e-05 820 -56.8483 -56.8483 4.47214
5e-05 840 -63.8091 -63.8091 7.48331
5e-05 860 -56.1161 -56.1161 5.83095
5e-05 880 -56.9142 -56.9142 6.48074
5e-05 900 -59.5852 -59.5852 4.24264
5e-05 920 -60.0895 -60.0895 6
5e-05 940 -54.2819 -54.2819 3.16228
5e-05 960 -64.4948 -64.4948 6.16441
5e-05 980 -55.1376 -55.1376 8.12404
5e-05 1000 -61.4069 -61.4069 7.07107
5e-05 1020 -53.9666 -53.9666 4.69042
5e-05 1040 -58.1391 -58.1391 2.82843
5e-05 1060 -53.057 -53.057 6.78233
5e-05 1080 -58.909 -58.909 6
5e-05 1100 -57.5074 -57.5074 3.16228
5e-05 1120 -62.9786 -62.9786 2.44949
5e-05 1140 -55.0717 -55.0717 4.69042
5e-05 1160 -64.2604 -64.2604 2.82843
5e-05 1180 -57.9534 -57.9534 4.47214
5e-05 1200 -53.3358 -53.3358 5.47723
5e-05 1220 -55.4216 -55.4216 3.16228
5e-05 1240 -55.182 -55.182 4.47214
5e-05 1260 -53.2767 -53.2767 0
5e-05 1280 -62.8055 -62.8055 3.16228
5e-05 1300 -51.4142 -51.4142 7.07107
5e-05 1320 -56.3143 -56.3143 3.16228
5e-05 1340 -59.1915 -59.1915 6.16441
5e-05 1360 -63.1428 -63.1428 5.09902
5e-05 1380 -53.2374 -53.2374 9.05539
5e-05 1400 -55.1569 -55.1569 2.82843
5e-05 1420 -61.3765 -61.3765 5.09902
5e-05 1440 -58.5999 -58.5999 2.44949
5e-05 1460 -57.0518 -57.0518 4.24264
5e-05 1480 -60.5821 -60.5821 4.69042
5e-05 1500 -53.7773 -53.7773 4.69042
5e-05 1520 -48.5392 -48.5392 8.12404
5e-05 1540 -56.5518 -56.5518 2.82843
5e-05 1560 -56.9497 -56.9497 6.32456
5e-05 1580 -61.0925 -61.0925 5.47723
5e-05 1600 -55.4157 -55.4157 4.69042
5e-05 1620 -60.9069 -60.9069 3.16228
5e-05 1640 -63.182 -63.182 3.16228
5e-05 1660 -54.5414 -54.5414 5.65685
5e-05 1680 -53.25 -53.25 2.44949
5e-05 1700 -49.8247 -49.8247 6.78233
5e-05 1720 -59.5141 -59.5141 6.48074
5e-05 1740 -52.0355 -52.0355 5.83095
5e-05 1760 -56.1501 -56.1501 1.41421
5e-05 1780 -55.8891 -55.8891 3.74166
5e-05 1800 -54.2108 -54.2108 3.74166
5e-05 1820 -55.2929 -55.2929 3.16228
5e-05 1840 -51.0162 -51.0162 1.41421
5e-05 1860 -53.0518 -53.0518 2
5e-05 1880 -57.5267 -57.5267 5.09902
5e-05 1900 -64.3195 -64.3195 6.16441
5e-05 1920 -58.4216 -58.4216 3.4641
5e-05 1940 -40.307 -40.307 1.41421
5e-05 1960 -48.8232 -48.8232 7.87401
5e-05 1980 -53.6428 -53.6428 6
5e-05 2000 -63.4268 -63.4268 2.82843
