#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
7.91667e-05 0 -37.6302 -37.6302 3.74166
7.91667e-05 20 -38.9194 -38.9194 5.09902
7.91667e-05 40 -29.5607 -29.5607 5.09902
7.91667e-05 60 -43.1517 -43.1517 2.44949
7.91667e-05 80 -35.4445 -35.4445 5.09902
7.91667e-05 100 -32.6213 -32.6213 1.41421
7.91667e-05 120 -46.9534 -46.9534 7.48331
7.91667e-05 140 -33.1103 -33.1103 4.47214
7.91667e-05 160 -29.9497 -29.9497 3.74166
7.91667e-05 180 -46.3676 -46.3676 5.09902
7.91667e-05 200 -42.7301 -42.7301 8.48528
7.91667e-05 220 -37.5873 -37.5873 4.24264
7.91667e-05 240 -37.2892 -37.2892 7.07107
7.91667e-05 260 -37.9231 -37.9231 4.89898
7.91667e-05 280 -31.3321 -31.3321 5.09902
7.91667e-05 300 -45.2034 -45.2034 5.09902
7.91667e-05 320 -40.398 -40.398 4.89898
7.91667e-05 340 -40.341 -40.341 6.16441
7.91667e-05 360 -47.023 -47.023 4.69042
7.91667e-05 380 -38.7197 -38.7197 4.89898
7.91667e-05 400 -41.5126 -41.5126 1.41421
7.91667e-05 420 -38.0591 -38.0591 5.09902
7.91667e-05 440 -39.807 -39.807 6.48074
7.91667e-05 460 -34.3107 -34.3107 5.09902
7.91667e-05 480 -40.7714 -40.7714 5.47723
7.91667e-05 500 -35.1036 -35.1036 10.2956
7.91667e-05 520 -43.7108 -43.7108 8.12404
7.91667e-05 540 -35.432 -35.432 5.83095
7.91667e-05 560 -37.9142 -37.9142 3.16228
7.91667e-05 580 -42.5052 -42.5052 2.82843
7.91667e-05 600 -37.1324 -37.1324 7.34847
7.91667e-05 620 -45.9231 -45.9231 6.32456
7.91667e-05 640 -39.5089 -39.5089 6.48074
7.91667e-05 660 -43.5481 -43.5481 3.16228
7.91667e-05 680 -38.307 -38.307 10.2956
7.91667e-05 700 -41.6124 -41.6124 9.27362
7.91667e-05 720 -35.4127 -35.4127 10.0995
7.91667e-05 740 -32.4623 -32.4623 5.47723
7.91667e-05 760 -35.4764 -35.4764 5.09902
7.91667e-05 780 -32.909 -32.909 5.83095
7.91667e-05 800 -38.6642 -38.6642 7.07107
7.91667e-05 820 -30.2907 -30.2907 10.198
7.91667e-05 840 -31.2678 -31.2678 4.24264
7.91667e-05 860 -34.2071 -34.2071 4.47214
7.91667e-05 880 -44.8195 -44.8195 3.74166
7.91667e-05 900 -32.5466 -32.5466 4
7.91667e-05 920 -39.1945 -39.1945 6.48074
7.91667e-05 940 -37.6198 -37.6198 5.47723
7.91667e-05 960 -44.2249 -44.2249 8.12404
7.91667e-05 980 -42.6391 -42.6391 3.16228
7.91667e-05 1000 -36.4142 -36.4142 3.4641
7.91667e-05 1020 -42.6354 -42.6354 6.16441
7.91667e-05 1040 -40.7463 -40.7463 3.74166
7.91667e-05 1060 -33.6517 -33.6517 5.09902
7.91667e-05 1080 -37.9859 -37.9859 4.24264
7.91667e-05 1100 -37.2552 -37.2552 5.09902
7.91667e-05 1120 -48.0052 -48.0052 2.82843
7.91667e-05 1140 -27.4231 -27.4231 3.74166
7.91667e-05 1160 -30.3943 -30.3943 3.74166
7.91667e-05 1180 -34.0303 -34.0303 13.4907
7.91667e-05 1200 -41.1213 -41.1213 9.27362
7.91667e-05 1220 -40.3159 -40.3159 4.89898
7.91667e-05 1240 -46.182 -46.182 2
7.91667e-05 1260 -41.2108 -41.2108 3.74166
7.91667e-05 1280 -35.7892 -35.7892 7.07107
7.91667e-05 1300 -25.0873 -25.0873 3.16228
7.91667e-05 1320 -44.9289 -44.9289 2
7.91667e-05 1340 -39.6161 -39.6161 3.74166
7.91667e-05 1360 -37.9105 -37.9105 6.63325
7.91667e-05 1380 -37.023 -37.023 6.78233
7.91667e-05 1400 -32.1694 -32.1694 4.24264
7.91667e-05 1420 -35.8676 -35.8676 3.74166
7.91667e-05 1440 -38.5747 -38.5747 7.48331
7.91667e-05 1460 -48.3107 -48.3107 3.16228
7.91667e-05 1480 -44.7641 -44.7641 5.47723
7.91667e-05 1500 -36.6857 -36.6857 9.89949
7.91667e-05 1520 -42.2604 -42.2604 3.74166
7.91667e-05 1540 -35.1213 -35.1213 8.83176
7.91667e-05 1560 -29.6051 -29.6051 5.09902
7.91667e-05 1580 -49.9017 -49.9017 4.69042
7.91667e-05 1600 -43.4194 -43.4194 11.225
7.91667e-05 1620 -34.1768 -34.1768 6.16441
7.91667e-05 1640 -34.3462 -34.3462 6.63325
7.91667e-05 1660 -37.0999 -37.0999 2.44949
7.91667e-05 1680 -39.4231 -39.4231 9.05539
7.91667e-05 1700 -40.5622 -40.5622 4.24264
7.91667e-05 1720 -35.7359 -35.7359 4.24264
7.91667e-05 1740 -31.4749 -31.4749 9.05539
7.91667e-05 1760 -42.378 -42.378 2.82843
7.91667e-05 1780 -39.9445 -39.9445 7.07107
7.91667e-05 1800 -36.8802 -36.8802 7.61577
7.91667e-05 1820 -37.9372 -37.9372 2.44949
7.91667e-05 1840 -46.4409 -46.4409 2.44949
7.91667e-05 1860 -36.398 -36.398 5.47723
7.91667e-05 1880 -46.0214 -46.0214 3.16228
7.91667e-05 1900 -36.5962 -36.5962 3.16228
7.91667e-05 1920 -31.6857 -31.6857 3.16228
7.91667e-05 1940 -41.5193 -41.5193 6.16441
7.91667e-05 1960 -45.5303 -45.5303 6.48074
7.91667e-05 1980 -33.6391 -33.6391 9.89949
7.91667e-05 2000 -37.2426 -37.2426 6.78233
