#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
4.16667e-05 0 -120.398 -120.398 1.41421
4.16667e-05 20 -113.027 -113.027 2.44949
4.16667e-05 40 -98.4506 -98.4506 4.24264
4.16667e-05 60 -98.4522 -98.4522 2.44949
4.16667e-05 80 -102.392 -102.392 4.69042
4.16667e-05 100 -97.2435 -97.2435 2
4.16667e-05 120 -83.1437 -83.1437 5.09902
4.16667e-05 140 -94.6274 -94.6274 5.47723
4.16667e-05 160 -112.375 -112.375 2.82843
4.16667e-05 180 -93.2487 -93.2487 3.74166
4.16667e-05 200 -107.479 -107.479 3.74166
4.16667e-05 220 -105.013 -105.013 4.89898
4.16667e-05 240 -106.793 -106.793 2.44949
4.16667e-05 260 -108.095 -108.095 1.41421
4.16667e-05 280 -96.7791 -96.7791 2.44949
4.16667e-05 300 -88.39 -88.39 1.41421
4.16667e-05 320 -90.981 -90.981 4
4.16667e-05 340 -95.7399 -95.7399 5.47723
4.16667e-05 360 -107.491 -107.491 3.4641
4.16667e-05 380 -113.027 -113.027 2
4.16667e-05 400 -113.393 -113.393 3.16228
4.16667e-05 420 -110.173 -110.173 2.82843
4.16667e-05 440 -94.7827 -94.7827 2.44949
4.16667e-05 460 -105.409 -105.409 3.74166
4.16667e-05 480 -110.009 -110.009 1.41421
4.16667e-05 500 -113.613 -113.613 1.41421
4.16667e-05 520 -102.879 -102.879 2.44949
4.16667e-05 540 -91.6541 -91.6541 6.48074
4.16667e-05 560 -109.009 -109.009 2.44949
4.16667e-05 580 -106.754 -106.754 2.44949
4.16667e-05 600 -89.8079 -89.8079 3.16228
4.16667e-05 620 -88.9418 -88.9418 3.74166
4.16667e-05 640 -94.6918 -94.6918 2
4.16667e-05 660 -87.5364 -87.5364 6.78233
4.16667e-05 680 -95.197 -95.197 4.47214
4.16667e-05 700 -107.552 -107.552 3.16228
4.16667e-05 720 -99.0557 -99.0557 3.16228
4.16667e-05 740 -103.224 -103.224 2.44949
4.16667e-05 760 -96.4329 -96.4329 2.82843
4.16667e-05 780 -100.797 -100.797 2.44949
4.16667e-05 800 -94.3737 -94.3737 2.82843
4.16667e-05 820 -85.5098 -85.5098 3.74166
4.16667e-05 840 -91.617 -91.617 2.44949
4.16667e-05 860 -84.7871 -84.7871 3.74166
4.16667e-05 880 -84.5312 -84.5312 5.09902
4.16667e-05 900 -91.2827 -91.2827 3.16228
4.16667e-05 920 -103.577 -103.577 1.41421
4.16667e-05 940 -103.461 -103.461 3.74166
4.16667e-05 960 -105.163 -105.163 2
4.16667e-05 980 -92.9669 -92.9669 2.44949
4.16667e-05 1000 -97.0808 -97.0808 5.47723
4.16667e-05 1020 -100.663 -100.663 1.41421
4.16667e-05 1040 -106.156 -106.156 0
4.16667e-05 1060 -105.031 -105.031 4.47214
4.16667e-05 1080 -108.284 -108.284 1.41421
4.16667e-05 1100 -113.1 -113.1 1.41421
4.16667e-05 1120 -107.909 -107.909 2.44949
4.16667e-05 1140 -97.9041 -97.9041 3.74166
4.16667e-05 1160 -96.2665 -96.2665 2
4.16667e-05 1180 -107.729 -107.729 2.82843
4.16667e-05 1200 -109.186 -109.186 1.41421
4.16667e-05 1220 -99.1326 -99.1326 3.4641
4.16667e-05 1240 -101.297 -101.297 4.24264
4.16667e-05 1260 -102.327 -102.327 3.74166
4.16667e-05 1280 -99.7791 -99.7791 5.09902
4.16667e-05 1300 -98.0076 -98.0076 2
4.16667e-05 1320 -90.6363 -90.6363 5.83095
4.16667e-05 1340 -94.3774 -94.3774 3.74166
4.16667e-05 1360 -78.5386 -78.5386 4.69042
4.16667e-05 1380 -92.8419 -92.8419 3.74166
4.16667e-05 1400 -94.6866 -94.6866 2
4.16667e-05 1420 -95.1452 -95.1452 2.44949
4.16667e-05 1440 -101.09 -101.09 1.41421
4.16667e-05 1460 -101.727 -101.727 3.74166
4.16667e-05 1480 -100.909 -100.909 3.16228
4.16667e-05 1500 -111.988 -111.988 2
4.16667e-05 1520 -103.345 -103.345 2.44949
4.16667e-05 1540 -105.206 -105.206 3.74166
4.16667e-05 1560 -91.9344 -91.9344 5.09902
4.16667e-05 1580 -106.565 -106.565 2.82843
4.16667e-05 1600 -101.27 -101.27 2.44949
4.16667e-05 1620 -97.0882 -97.0882 1.41421
4.16667e-05 1640 -89.3226 -89.3226 3.16228
4.16667e-05 1660 -87.5282 -87.5282 3.16228
4.16667e-05 1680 -102.38 -102.38 3.16228
4.16667e-05 1700 -95.2221 -95.2221 3.74166
4.16667e-05 1720 -105.849 -105.849 0
4.16667e-05 1740 -110.19 -110.19 2.82843
4.16667e-05 1760 -111.759 -111.759 1.41421
4.16667e-05 1780 -120.398 -120.398 1.41421
4.16667e-05 1800 -105.022 -105.022 4.24264
4.16667e-05 1820 -113.323 -113.323 2.44949
4.16667e-05 1840 -103.554 -103.554 1.41421
4.16667e-05 1860 -98.8168 -98.8168 2.44949
4.16667e-05 1880 -97.1666 -97.1666 2
4.16667e-05 1900 -93.7347 -93.7347 1.41421
4.16667e-05 1920 -94.276 -94.276 1.41421
4.16667e-05 1940 -75.9225 -75.9225 3.16228
4.16667e-05 1960 -78.3085 -78.3085 3.16228
4.16667e-05 1980 -76.2723 -76.2723 3.74166
4.16667e-05 2000 -87.6725 -87.6725 4.69042
