#MCS AutoCorr_Pz
0 8.41512e+08
1 7.78744e+08
2 7.21519e+08
3 6.68127e+08
4 6.19377e+08
5 5.74636e+08
6 5.32677e+08
7 4.93596e+08
8 4.57225e+08
9 4.23771e+08
10 3.92733e+08
11 3.64155e+08
12 3.37922e+08
13 3.13345e+08
14 2.9059e+08
15 2.69335e+08
16 2.49859e+08
17 2.31813e+08
18 2.15303e+08
19 1.99917e+08
20 1.85486e+08
21 1.72146e+08
22 1.59592e+08
23 1.48456e+08
24 1.3786e+08
25 1.2838e+08
26 1.19591e+08
27 1.1142e+08
28 1.03752e+08
29 9.65853e+07
30 9.03243e+07
31 8.44639e+07
32 7.89135e+07
33 7.36379e+07
34 6.87361e+07
35 6.47745e+07
36 6.05852e+07
37 5.64839e+07
38 5.29309e+07
39 5.00008e+07
40 4.67893e+07
41 4.34865e+07
42 4.06179e+07
43 3.82381e+07
44 3.58766e+07
45 3.39427e+07
46 3.23724e+07
47 3.09033e+07
48 2.98282e+07
49 2.84915e+07
50 2.70375e+07
51 2.53937e+07
52 2.43426e+07
53 2.29372e+07
54 2.16512e+07
55 2.03384e+07
56 1.94568e+07
57 1.84527e+07
58 1.76702e+07
59 1.70724e+07
60 1.70301e+07
61 1.62003e+07
62 1.55619e+07
63 1.47214e+07
64 1.42497e+07
65 1.36401e+07
66 1.33669e+07
67 1.3634e+07
68 1.32064e+07
69 1.27267e+07
70 1.19336e+07
71 1.15654e+07
72 1.10145e+07
73 9.8133e+06
74 8.5804e+06
75 7.4421e+06
76 6.17305e+06
77 5.23904e+06
78 4.08792e+06
79 2.71586e+06
80 1.3868e+06
81 630408
82 -124160
83 -601204
84 -969160
85 -1.41135e+06
86 -1.97905e+06
87 -2.51174e+06
88 -2.97212e+06
89 -2.97129e+06
90 -3.16915e+06
91 -3.60676e+06
92 -3.68286e+06
93 -3.75554e+06
94 -3.63839e+06
95 -3.29132e+06
96 -2.81157e+06
97 -2.45325e+06
98 -2.44434e+06
99 -2.76986e+06
