#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.0001 0 -800 -800 400
0.0001 20 -792 -792 398
0.0001 40 -800 -800 400
0.0001 60 -792 -792 398
0.0001 80 -800 -800 400
0.0001 100 -800 -800 400
0.0001 120 -800 -800 400
0.0001 140 -784 -784 396
0.0001 160 -800 -800 400
0.0001 180 -800 -800 400
0.0001 200 -792 -792 398
0.0001 220 -800 -800 400
0.0001 240 -784 -784 396
0.0001 260 -800 -800 400
0.0001 280 -784 -784 396
0.0001 300 -784 -784 396
0.0001 320 -792 -792 398
0.0001 340 -792 -792 398
0.0001 360 -792 -792 398
0.0001 380 -788 -788 396
0.0001 400 -800 -800 400
0.0001 420 -792 -792 398
0.0001 440 -772 -772 392
0.0001 460 -792 -792 398
0.0001 480 -792 -792 398
0.0001 500 -784 -784 394
0.0001 520 -800 -800 400
0.0001 540 -800 -800 400
0.0001 560 -792 -792 398
0.0001 580 -792 -792 398
0.0001 600 -792 -792 398
0.0001 620 -800 -800 400
0.0001 640 -792 -792 398
0.0001 660 -792 -792 398
0.0001 680 -772 -772 392
0.0001 700 -800 -800 400
0.0001 720 -768 -768 392
0.0001 740 -792 -792 398
0.0001 760 -800 -800 400
0.0001 780 -792 -792 398
0.0001 800 -784 -784 396
0.0001 820 -800 -800 400
0.0001 840 -784 -784 396
0.0001 860 -800 -800 400
0.0001 880 -800 -800 400
0.0001 900 -784 -784 396
0.0001 920 -800 -800 400
0.0001 940 -792 -792 398
0.0001 960 -792 -792 398
0.0001 980 -792 -792 398
0.0001 1000 -800 -800 400
0.0001 1020 -800 -800 400
0.0001 1040 -800 -800 400
0.0001 1060 -792 -792 398
0.0001 1080 -800 -800 400
0.0001 1100 -800 -800 400
0.0001 1120 -788 -788 396
0.0001 1140 -792 -792 398
0.0001 1160 -800 -800 400
0.0001 1180 -800 -800 400
0.0001 1200 -792 -792 398
0.0001 1220 -792 -792 398
0.0001 1240 -800 -800 400
0.0001 1260 -800 -800 400
0.0001 1280 -800 -800 400
0.0001 1300 -792 -792 398
0.0001 1320 -792 -792 398
0.0001 1340 -800 -800 400
0.0001 1360 -800 -800 400
0.0001 1380 -784 -784 396
0.0001 1400 -800 -800 400
0.0001 1420 -792 -792 398
0.0001 1440 -800 -800 400
0.0001 1460 -792 -792 398
0.0001 1480 -800 -800 400
0.0001 1500 -784 -784 396
0.0001 1520 -800 -800 400
0.0001 1540 -800 -800 400
0.0001 1560 -784 -784 396
0.0001 1580 -800 -800 400
0.0001 1600 -800 -800 400
0.0001 1620 -792 -792 398
0.0001 1640 -800 -800 400
0.0001 1660 -800 -800 400
0.0001 1680 -800 -800 400
0.0001 1700 -800 -800 400
0.0001 1720 -792 -792 398
0.0001 1740 -800 -800 400
0.0001 1760 -800 -800 400
0.0001 1780 -800 -800 400
0.0001 1800 -800 -800 400
0.0001 1820 -800 -800 400
0.0001 1840 -800 -800 400
0.0001 1860 -792 -792 398
0.0001 1880 -800 -800 400
0.0001 1900 -792 -792 398
0.0001 1920 -800 -800 400
0.0001 1940 -792 -792 398
0.0001 1960 -800 -800 400
0.0001 1980 -800 -800 400
0.0001 2000 -800 -800 400
