#MCS AutoCorr_Pz
0 1.28973e+09
1 1.23225e+09
2 1.17763e+09
3 1.12548e+09
4 1.0759e+09
5 1.02855e+09
6 9.83385e+08
7 9.40331e+08
8 8.99064e+08
9 8.59466e+08
10 8.21336e+08
11 7.85107e+08
12 7.50405e+08
13 7.17728e+08
14 6.86476e+08
15 6.56538e+08
16 6.28066e+08
17 6.00855e+08
18 5.75231e+08
19 5.50531e+08
20 5.268e+08
21 5.04274e+08
22 4.82625e+08
23 4.6166e+08
24 4.41709e+08
25 4.22237e+08
26 4.03638e+08
27 3.85648e+08
28 3.68161e+08
29 3.51433e+08
30 3.35331e+08
31 3.20094e+08
32 3.05672e+08
33 2.92478e+08
34 2.79774e+08
35 2.67655e+08
36 2.56254e+08
37 2.45523e+08
38 2.35024e+08
39 2.25145e+08
40 2.15856e+08
41 2.0708e+08
42 1.99328e+08
43 1.91975e+08
44 1.85189e+08
45 1.78755e+08
46 1.72476e+08
47 1.66256e+08
48 1.59923e+08
49 1.53475e+08
50 1.47496e+08
51 1.41932e+08
52 1.36761e+08
53 1.3181e+08
54 1.26972e+08
55 1.22006e+08
56 1.16699e+08
57 1.11603e+08
58 1.0692e+08
59 1.02668e+08
60 9.85271e+07
61 9.44871e+07
62 9.04672e+07
63 8.68413e+07
64 8.34836e+07
65 8.01012e+07
66 7.68112e+07
67 7.39477e+07
68 7.1123e+07
69 6.82642e+07
70 6.50716e+07
71 6.1827e+07
72 5.82184e+07
73 5.50685e+07
74 5.26158e+07
75 5.01877e+07
76 4.77251e+07
77 4.53882e+07
78 4.34313e+07
79 4.16426e+07
80 4.00166e+07
81 3.83928e+07
82 3.68171e+07
83 3.4941e+07
84 3.339e+07
85 3.17588e+07
86 3.04055e+07
87 2.88404e+07
88 2.71104e+07
89 2.54637e+07
90 2.4097e+07
91 2.25375e+07
92 2.0838e+07
93 1.90489e+07
94 1.71738e+07
95 1.59579e+07
96 1.50337e+07
97 1.40141e+07
98 1.28298e+07
99 1.13977e+07
