#MCS AutoCorr_Pz
0 2.82927e+10
1 2.82918e+10
2 2.82914e+10
3 2.82912e+10
4 2.82911e+10
5 2.8291e+10
6 2.8291e+10
7 2.8291e+10
8 2.8291e+10
9 2.8291e+10
10 2.8291e+10
11 2.8291e+10
12 2.8291e+10
13 2.8291e+10
14 2.8291e+10
15 2.8291e+10
16 2.8291e+10
17 2.8291e+10
18 2.8291e+10
19 2.8291e+10
20 2.8291e+10
21 2.8291e+10
22 2.8291e+10
23 2.8291e+10
24 2.8291e+10
25 2.8291e+10
26 2.8291e+10
27 2.8291e+10
28 2.8291e+10
29 2.8291e+10
30 2.8291e+10
31 2.8291e+10
32 2.8291e+10
33 2.8291e+10
34 2.8291e+10
35 2.8291e+10
36 2.8291e+10
37 2.8291e+10
38 2.8291e+10
39 2.8291e+10
40 2.8291e+10
41 2.8291e+10
42 2.8291e+10
43 2.8291e+10
44 2.8291e+10
45 2.8291e+10
46 2.8291e+10
47 2.8291e+10
48 2.8291e+10
49 2.8291e+10
50 2.8291e+10
51 2.8291e+10
52 2.8291e+10
53 2.8291e+10
54 2.8291e+10
55 2.8291e+10
56 2.8291e+10
57 2.8291e+10
58 2.8291e+10
59 2.8291e+10
60 2.8291e+10
61 2.8291e+10
62 2.8291e+10
63 2.8291e+10
64 2.8291e+10
65 2.8291e+10
66 2.8291e+10
67 2.8291e+10
68 2.8291e+10
69 2.8291e+10
70 2.8291e+10
71 2.8291e+10
72 2.8291e+10
73 2.8291e+10
74 2.8291e+10
75 2.8291e+10
76 2.8291e+10
77 2.8291e+10
78 2.8291e+10
79 2.8291e+10
80 2.8291e+10
81 2.8291e+10
82 2.8291e+10
83 2.8291e+10
84 2.8291e+10
85 2.8291e+10
86 2.8291e+10
87 2.8291e+10
88 2.8291e+10
89 2.8291e+10
90 2.8291e+10
91 2.8291e+10
92 2.8291e+10
93 2.8291e+10
94 2.8291e+10
95 2.8291e+10
96 2.8291e+10
97 2.8291e+10
98 2.8291e+10
99 2.8291e+10
