#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.000283333 0 -300 -300 32
0.000283333 20 -228 -228 2
0.000283333 40 -252 -252 52
0.000283333 60 -312 -312 30
0.000283333 80 -320 -320 26
0.000283333 100 -292 -292 10
0.000283333 120 -216 -216 26
0.000283333 140 -300 -300 76
0.000283333 160 -312 -312 118
0.000283333 180 -272 -272 20
0.000283333 200 -288 -288 48
0.000283333 220 -232 -232 16
0.000283333 240 -296 -296 42
0.000283333 260 -252 -252 18
0.000283333 280 -248 -248 68
0.000283333 300 -292 -292 62
0.000283333 320 -220 -220 58
0.000283333 340 -300 -300 120
0.000283333 360 -236 -236 40
0.000283333 380 -252 -252 4
0.000283333 400 -252 -252 28
0.000283333 420 -216 -216 90
0.000283333 440 -280 -280 86
0.000283333 460 -288 -288 14
0.000283333 480 -280 -280 12
0.000283333 500 -256 -256 36
0.000283333 520 -288 -288 24
0.000283333 540 -404 -404 2
0.000283333 560 -320 -320 94
0.000283333 580 -236 -236 38
0.000283333 600 -284 -284 76
0.000283333 620 -248 -248 32
0.000283333 640 -248 -248 78
0.000283333 660 -236 -236 32
0.000283333 680 -316 -316 78
0.000283333 700 -264 -264 22
0.000283333 720 -236 -236 88
0.000283333 740 -240 -240 56
0.000283333 760 -260 -260 2
0.000283333 780 -196 -196 12
0.000283333 800 -284 -284 22
0.000283333 820 -200 -200 20
0.000283333 840 -316 -316 6
0.000283333 860 -292 -292 8
0.000283333 880 -292 -292 130
0.000283333 900 -308 -308 66
0.000283333 920 -244 -244 50
0.000283333 940 -292 -292 110
0.000283333 960 -340 -340 12
0.000283333 980 -288 -288 20
0.000283333 1000 -320 -320 66
0.000283333 1020 -248 -248 20
0.000283333 1040 -320 -320 88
0.000283333 1060 -316 -316 68
0.000283333 1080 -268 -268 24
0.000283333 1100 -296 -296 12
0.000283333 1120 -236 -236 60
0.000283333 1140 -280 -280 30
0.000283333 1160 -276 -276 58
0.000283333 1180 -248 -248 56
0.000283333 1200 -256 -256 12
0.000283333 1220 -308 -308 10
0.000283333 1240 -224 -224 34
0.000283333 1260 -324 -324 70
0.000283333 1280 -204 -204 34
0.000283333 1300 -292 -292 32
0.000283333 1320 -240 -240 76
0.000283333 1340 -264 -264 58
0.000283333 1360 -260 -260 16
0.000283333 1380 -264 -264 20
0.000283333 1400 -264 -264 50
0.000283333 1420 -272 -272 104
0.000283333 1440 -232 -232 6
0.000283333 1460 -236 -236 8
0.000283333 1480 -204 -204 4
0.000283333 1500 -296 -296 20
0.000283333 1520 -280 -280 6
0.000283333 1540 -264 -264 62
0.000283333 1560 -252 -252 6
0.000283333 1580 -256 -256 4
0.000283333 1600 -240 -240 2
0.000283333 1620 -312 -312 70
0.000283333 1640 -256 -256 8
0.000283333 1660 -284 -284 42
0.000283333 1680 -284 -284 96
0.000283333 1700 -348 -348 26
0.000283333 1720 -328 -328 22
0.000283333 1740 -292 -292 68
0.000283333 1760 -268 -268 28
0.000283333 1780 -292 -292 74
0.000283333 1800 -288 -288 42
0.000283333 1820 -264 -264 4
0.000283333 1840 -252 -252 0
0.000283333 1860 -264 -264 82
0.000283333 1880 -272 -272 30
0.000283333 1900 -276 -276 18
0.000283333 1920 -288 -288 22
0.000283333 1940 -272 -272 28
0.000283333 1960 -248 -248 28
0.000283333 1980 -280 -280 76
0.000283333 2000 -276 -276 54
