#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.0003 0 -360 -360 62
0.0003 20 -248 -248 2
0.0003 40 -224 -224 32
0.0003 60 -216 -216 12
0.0003 80 -292 -292 14
0.0003 100 -220 -220 38
0.0003 120 -216 -216 70
0.0003 140 -220 -220 34
0.0003 160 -268 -268 74
0.0003 180 -192 -192 34
0.0003 200 -264 -264 86
0.0003 220 -272 -272 94
0.0003 240 -192 -192 66
0.0003 260 -248 -248 46
0.0003 280 -256 -256 0
0.0003 300 -224 -224 36
0.0003 320 -320 -320 6
0.0003 340 -204 -204 26
0.0003 360 -240 -240 40
0.0003 380 -292 -292 36
0.0003 400 -316 -316 16
0.0003 420 -244 -244 36
0.0003 440 -200 -200 24
0.0003 460 -344 -344 62
0.0003 480 -232 -232 2
0.0003 500 -264 -264 8
0.0003 520 -236 -236 22
0.0003 540 -256 -256 52
0.0003 560 -300 -300 38
0.0003 580 -304 -304 2
0.0003 600 -300 -300 14
0.0003 620 -296 -296 22
0.0003 640 -208 -208 36
0.0003 660 -244 -244 14
0.0003 680 -284 -284 4
0.0003 700 -256 -256 32
0.0003 720 -200 -200 72
0.0003 740 -200 -200 78
0.0003 760 -276 -276 52
0.0003 780 -252 -252 28
0.0003 800 -196 -196 4
0.0003 820 -188 -188 52
0.0003 840 -272 -272 24
0.0003 860 -216 -216 36
0.0003 880 -328 -328 104
0.0003 900 -228 -228 8
0.0003 920 -304 -304 22
0.0003 940 -212 -212 22
0.0003 960 -192 -192 10
0.0003 980 -264 -264 12
0.0003 1000 -236 -236 8
0.0003 1020 -256 -256 32
0.0003 1040 -244 -244 16
0.0003 1060 -232 -232 24
0.0003 1080 -248 -248 8
0.0003 1100 -284 -284 0
0.0003 1120 -288 -288 4
0.0003 1140 -272 -272 24
0.0003 1160 -264 -264 44
0.0003 1180 -212 -212 10
0.0003 1200 -256 -256 24
0.0003 1220 -268 -268 54
0.0003 1240 -248 -248 12
0.0003 1260 -292 -292 6
0.0003 1280 -280 -280 70
0.0003 1300 -260 -260 24
0.0003 1320 -216 -216 50
0.0003 1340 -224 -224 16
0.0003 1360 -216 -216 32
0.0003 1380 -288 -288 12
0.0003 1400 -244 -244 90
0.0003 1420 -256 -256 16
0.0003 1440 -276 -276 4
0.0003 1460 -300 -300 62
0.0003 1480 -260 -260 18
0.0003 1500 -196 -196 4
0.0003 1520 -228 -228 42
0.0003 1540 -236 -236 74
0.0003 1560 -264 -264 26
0.0003 1580 -216 -216 30
0.0003 1600 -248 -248 8
0.0003 1620 -308 -308 50
0.0003 1640 -268 -268 70
0.0003 1660 -268 -268 20
0.0003 1680 -176 -176 6
0.0003 1700 -248 -248 62
0.0003 1720 -296 -296 42
0.0003 1740 -284 -284 38
0.0003 1760 -240 -240 16
0.0003 1780 -232 -232 34
0.0003 1800 -296 -296 64
0.0003 1820 -228 -228 70
0.0003 1840 -256 -256 106
0.0003 1860 -300 -300 18
0.0003 1880 -236 -236 6
0.0003 1900 -272 -272 70
0.0003 1920 -324 -324 96
0.0003 1940 -276 -276 26
0.0003 1960 -284 -284 30
0.0003 1980 -264 -264 88
0.0003 2000 -268 -268 30
