#MCS AutoCorr_Pz
0 6.12372e+08
1 5.45318e+08
2 4.86035e+08
3 4.33295e+08
4 3.86768e+08
5 3.4555e+08
6 3.0881e+08
7 2.75859e+08
8 2.46249e+08
9 2.19719e+08
10 1.95978e+08
11 1.74564e+08
12 1.554e+08
13 1.38523e+08
14 1.23443e+08
15 1.10487e+08
16 9.91564e+07
17 8.9143e+07
18 7.97653e+07
19 7.15418e+07
20 6.40729e+07
21 5.71822e+07
22 5.096e+07
23 4.55542e+07
24 3.9953e+07
25 3.45923e+07
26 3.01076e+07
27 2.64387e+07
28 2.31244e+07
29 2.06359e+07
30 1.84839e+07
31 1.65368e+07
32 1.4745e+07
33 1.23033e+07
34 1.02061e+07
35 8.24567e+06
36 6.37034e+06
37 5.31284e+06
38 5.10264e+06
39 5.01026e+06
40 4.70581e+06
41 4.68536e+06
42 4.65487e+06
43 4.498e+06
44 4.44746e+06
45 4.43463e+06
46 4.22929e+06
47 3.81695e+06
48 3.19682e+06
49 3.11937e+06
50 2.86848e+06
51 2.59233e+06
52 2.44894e+06
53 2.54292e+06
54 2.11751e+06
55 1.90827e+06
56 975040
57 249544
58 -826952
59 -1.60272e+06
60 -2.11636e+06
61 -2.2398e+06
62 -1.73844e+06
63 -1.26794e+06
64 -1.19335e+06
65 -883808
66 -176336
67 127124
68 348660
69 233836
70 426084
71 876928
72 1.00749e+06
73 1.46212e+06
74 2.02854e+06
75 2.95409e+06
76 3.52402e+06
77 4.42016e+06
78 4.93676e+06
79 5.23898e+06
80 5.59858e+06
81 5.69821e+06
82 5.76885e+06
83 5.54304e+06
84 5.11854e+06
85 4.59754e+06
86 3.58519e+06
87 2.15124e+06
88 730508
89 -703588
90 -1.81801e+06
91 -2.17027e+06
92 -2.72922e+06
93 -3.14796e+06
94 -3.64992e+06
95 -3.48064e+06
96 -2.95966e+06
97 -2.43733e+06
98 -1.76863e+06
99 -1.16022e+06
