#MCS AutoCorr_Pz
0 4.00776e+08
1 3.28136e+08
2 2.69182e+08
3 2.20783e+08
4 1.80996e+08
5 1.48342e+08
6 1.21459e+08
7 9.94525e+07
8 8.14783e+07
9 6.70962e+07
10 5.53612e+07
11 4.57404e+07
12 3.75344e+07
13 3.10942e+07
14 2.57487e+07
15 2.1383e+07
16 1.77695e+07
17 1.43301e+07
18 1.13622e+07
19 9.26028e+06
20 7.36008e+06
21 5.77532e+06
22 4.44337e+06
23 3.42597e+06
24 2.48608e+06
25 1.70686e+06
26 1.48247e+06
27 1.06172e+06
28 829152
29 731144
30 478712
31 309764
32 -201156
33 -34100
34 259132
35 343928
36 821372
37 979604
38 1.01661e+06
39 945524
40 554360
41 626316
42 252296
43 547476
44 1.00816e+06
45 1.1155e+06
46 1.43493e+06
47 1.59398e+06
48 1.07808e+06
49 676064
50 778536
51 523248
52 157004
53 438328
54 392384
55 48296
56 -161684
57 202588
58 201556
59 193872
60 171888
61 339636
62 71976
63 -250836
64 -847696
65 -936244
66 -1.24499e+06
67 -839316
68 -636392
69 -607384
70 -531120
71 -540720
72 -143720
73 -230712
74 -582860
75 -788108
76 -692436
77 -966992
78 -1.31992e+06
79 -1.07259e+06
80 -746248
81 -282056
82 -93488
83 -288188
84 -79032
85 -245556
86 -479180
87 -664188
88 -1.0934e+06
89 -1.18549e+06
90 -1.35131e+06
91 -1.56567e+06
92 -1.91303e+06
93 -2.22831e+06
94 -2.39541e+06
95 -2.33908e+06
96 -2.05643e+06
97 -1.89584e+06
98 -1.98274e+06
99 -1.59414e+06
