#MCS AutoCorr_Pz
0 2.50679e+09
1 2.45718e+09
2 2.40916e+09
3 2.36234e+09
4 2.31633e+09
5 2.27107e+09
6 2.22695e+09
7 2.18386e+09
8 2.14179e+09
9 2.1005e+09
10 2.06006e+09
11 2.02038e+09
12 1.98157e+09
13 1.94317e+09
14 1.90551e+09
15 1.86873e+09
16 1.83267e+09
17 1.79709e+09
18 1.76242e+09
19 1.72813e+09
20 1.6949e+09
21 1.662e+09
22 1.62956e+09
23 1.59752e+09
24 1.56595e+09
25 1.53477e+09
26 1.50401e+09
27 1.47385e+09
28 1.44416e+09
29 1.4147e+09
30 1.38558e+09
31 1.35705e+09
32 1.32896e+09
33 1.3013e+09
34 1.2745e+09
35 1.24842e+09
36 1.22292e+09
37 1.19824e+09
38 1.17399e+09
39 1.14993e+09
40 1.12612e+09
41 1.10275e+09
42 1.0796e+09
43 1.05693e+09
44 1.03484e+09
45 1.01325e+09
46 9.92331e+08
47 9.72017e+08
48 9.51748e+08
49 9.3236e+08
50 9.1349e+08
51 8.94608e+08
52 8.76241e+08
53 8.58268e+08
54 8.4051e+08
55 8.22928e+08
56 8.0618e+08
57 7.89679e+08
58 7.73895e+08
59 7.58565e+08
60 7.43353e+08
61 7.28113e+08
62 7.13263e+08
63 6.98629e+08
64 6.84231e+08
65 6.69815e+08
66 6.55826e+08
67 6.43102e+08
68 6.30556e+08
69 6.18183e+08
70 6.06404e+08
71 5.94742e+08
72 5.83344e+08
73 5.72074e+08
74 5.60842e+08
75 5.4998e+08
76 5.39824e+08
77 5.29449e+08
78 5.19293e+08
79 5.09203e+08
80 4.99442e+08
81 4.89846e+08
82 4.80408e+08
83 4.71177e+08
84 4.62086e+08
85 4.53595e+08
86 4.45095e+08
87 4.36725e+08
88 4.28586e+08
89 4.20777e+08
90 4.1329e+08
91 4.05863e+08
92 3.98723e+08
93 3.91788e+08
94 3.8483e+08
95 3.77672e+08
96 3.70641e+08
97 3.63534e+08
98 3.5659e+08
99 3.49585e+08
