#MCS AutoCorr_Pz
0 3.09673e+08
1 2.33606e+08
2 1.7655e+08
3 1.33665e+08
4 1.01548e+08
5 7.73499e+07
6 5.88668e+07
7 4.46415e+07
8 3.37177e+07
9 2.52682e+07
10 1.83956e+07
11 1.32802e+07
12 9.4257e+06
13 6.79518e+06
14 5.01593e+06
15 3.93102e+06
16 2.89129e+06
17 2.15429e+06
18 1.30316e+06
19 1.19527e+06
20 1.0114e+06
21 1.02675e+06
22 1.58017e+06
23 1.44927e+06
24 1.73556e+06
25 1.82826e+06
26 1.87781e+06
27 1.43044e+06
28 1.24134e+06
29 767572
30 108356
31 24584
32 57516
33 -126416
34 -620516
35 -1.31214e+06
36 -1.52018e+06
37 -1.50918e+06
38 -1.54348e+06
39 -1.35878e+06
40 -1.32438e+06
41 -909420
42 -1.26933e+06
43 -807944
44 -533656
45 -108000
46 414864
47 829512
48 687092
49 719568
50 392708
51 550592
52 513232
53 373548
54 345132
55 518652
56 530424
57 1.19126e+06
58 1.25943e+06
59 1.02421e+06
60 705408
61 176992
62 -172544
63 -395092
64 86628
65 598688
66 448540
67 668836
68 791980
69 470668
70 347928
71 -427368
72 -956740
73 -1.04848e+06
74 -1.13094e+06
75 -880396
76 -995976
77 -1.45494e+06
78 -1.38008e+06
79 -1.16028e+06
80 -650724
81 -553292
82 -402048
83 -61700
84 -202304
85 183744
86 186932
87 258156
88 177540
89 2600
90 -89696
91 -70152
92 403432
93 549716
94 952220
95 950572
96 1.07275e+06
97 782400
98 599732
99 224668
