#MCS AutoCorr_Pz
0 3.49382e+08
1 2.7504e+08
2 2.16815e+08
3 1.7101e+08
4 1.34485e+08
5 1.05788e+08
6 8.37293e+07
7 6.69461e+07
8 5.3533e+07
9 4.25317e+07
10 3.40248e+07
11 2.76325e+07
12 2.20173e+07
13 1.72987e+07
14 1.31452e+07
15 1.01334e+07
16 7.44828e+06
17 5.78984e+06
18 4.25411e+06
19 3.29387e+06
20 2.41463e+06
21 1.31064e+06
22 129668
23 -617140
24 -1.57864e+06
25 -2.58891e+06
26 -3.5009e+06
27 -4.07046e+06
28 -4.47359e+06
29 -4.61173e+06
30 -4.40688e+06
31 -3.90377e+06
32 -3.51057e+06
33 -2.77837e+06
34 -1.79052e+06
35 -1.54735e+06
36 -972360
37 -386552
38 192432
39 912532
40 319232
41 531548
42 926544
43 676308
44 364240
45 -145964
46 -638240
47 -929204
48 -1.13344e+06
49 -921864
50 -428668
51 301220
52 152864
53 21492
54 -599260
55 -751896
56 -599936
57 -327492
58 358252
59 168648
60 -5796
61 -14600
62 -431652
63 -280304
64 -332720
65 -335204
66 -432692
67 -585900
68 -547196
69 -626948
70 -791220
71 -872880
72 -1.01904e+06
73 -1.32679e+06
74 -1.4309e+06
75 -1.3448e+06
76 -1.29127e+06
77 -1.12313e+06
78 -925184
79 -1.49376e+06
80 -1.6877e+06
81 -985292
82 -581664
83 -679184
84 -1.33444e+06
85 -1.80096e+06
86 -1.70376e+06
87 -1.7253e+06
88 -1.52192e+06
89 -1.45188e+06
90 -1.93972e+06
91 -2.35071e+06
92 -2.98417e+06
93 -3.32552e+06
94 -3.29744e+06
95 -3.02176e+06
96 -2.98426e+06
97 -2.44668e+06
98 -2.14944e+06
99 -1.96866e+06
