#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.00025 0 -480 -480 94
0.00025 20 -324 -324 6
0.00025 40 -328 -328 10
0.00025 60 -340 -340 60
0.00025 80 -324 -324 108
0.00025 100 -332 -332 108
0.00025 120 -292 -292 86
0.00025 140 -368 -368 198
0.00025 160 -308 -308 54
0.00025 180 -320 -320 16
0.00025 200 -268 -268 10
0.00025 220 -380 -380 64
0.00025 240 -344 -344 54
0.00025 260 -320 -320 6
0.00025 280 -296 -296 50
0.00025 300 -296 -296 12
0.00025 320 -392 -392 48
0.00025 340 -352 -352 138
0.00025 360 -280 -280 44
0.00025 380 -320 -320 10
0.00025 400 -304 -304 16
0.00025 420 -332 -332 0
0.00025 440 -356 -356 194
0.00025 460 -336 -336 2
0.00025 480 -264 -264 18
0.00025 500 -356 -356 8
0.00025 520 -316 -316 32
0.00025 540 -336 -336 50
0.00025 560 -304 -304 46
0.00025 580 -256 -256 32
0.00025 600 -344 -344 18
0.00025 620 -348 -348 74
0.00025 640 -336 -336 92
0.00025 660 -360 -360 16
0.00025 680 -352 -352 100
0.00025 700 -284 -284 10
0.00025 720 -364 -364 68
0.00025 740 -340 -340 132
0.00025 760 -344 -344 38
0.00025 780 -312 -312 34
0.00025 800 -332 -332 50
0.00025 820 -276 -276 16
0.00025 840 -288 -288 36
0.00025 860 -344 -344 40
0.00025 880 -340 -340 32
0.00025 900 -360 -360 64
0.00025 920 -396 -396 152
0.00025 940 -300 -300 76
0.00025 960 -348 -348 86
0.00025 980 -292 -292 92
0.00025 1000 -280 -280 36
0.00025 1020 -368 -368 50
0.00025 1040 -348 -348 78
0.00025 1060 -296 -296 60
0.00025 1080 -296 -296 46
0.00025 1100 -356 -356 52
0.00025 1120 -360 -360 10
0.00025 1140 -404 -404 74
0.00025 1160 -336 -336 52
0.00025 1180 -324 -324 44
0.00025 1200 -280 -280 108
0.00025 1220 -328 -328 54
0.00025 1240 -300 -300 132
0.00025 1260 -360 -360 78
0.00025 1280 -300 -300 48
0.00025 1300 -376 -376 14
0.00025 1320 -340 -340 4
0.00025 1340 -348 -348 48
0.00025 1360 -292 -292 14
0.00025 1380 -300 -300 72
0.00025 1400 -372 -372 118
0.00025 1420 -384 -384 52
0.00025 1440 -200 -200 32
0.00025 1460 -348 -348 148
0.00025 1480 -324 -324 40
0.00025 1500 -320 -320 92
0.00025 1520 -264 -264 62
0.00025 1540 -324 -324 72
0.00025 1560 -372 -372 4
0.00025 1580 -408 -408 8
0.00025 1600 -288 -288 94
0.00025 1620 -280 -280 56
0.00025 1640 -308 -308 66
0.00025 1660 -416 -416 36
0.00025 1680 -356 -356 66
0.00025 1700 -296 -296 8
0.00025 1720 -304 -304 32
0.00025 1740 -272 -272 6
0.00025 1760 -348 -348 94
0.00025 1780 -316 -316 92
0.00025 1800 -316 -316 10
0.00025 1820 -316 -316 76
0.00025 1840 -356 -356 54
0.00025 1860 -372 -372 18
0.00025 1880 -304 -304 28
0.00025 1900 -360 -360 102
0.00025 1920 -372 -372 54
0.00025 1940 -356 -356 4
0.00025 1960 -344 -344 64
0.00025 1980 -340 -340 38
0.00025 2000 -296 -296 38
