#MCS AutoCorr_Pz
0 4.90169e+08
1 4.1992e+08
2 3.59224e+08
3 3.07192e+08
4 2.6268e+08
5 2.25083e+08
6 1.92787e+08
7 1.65453e+08
8 1.42513e+08
9 1.23095e+08
10 1.05554e+08
11 9.07052e+07
12 7.79387e+07
13 6.68423e+07
14 5.75335e+07
15 4.94422e+07
16 4.23532e+07
17 3.66691e+07
18 3.18715e+07
19 2.74776e+07
20 2.41131e+07
21 2.07777e+07
22 1.80206e+07
23 1.54506e+07
24 1.29947e+07
25 1.06744e+07
26 8.72436e+06
27 7.63422e+06
28 6.8799e+06
29 6.578e+06
30 5.32096e+06
31 4.64328e+06
32 3.98344e+06
33 3.1804e+06
34 2.6887e+06
35 2.59367e+06
36 1.93168e+06
37 1.55613e+06
38 688580
39 405880
40 -54300
41 -862332
42 -1.31678e+06
43 -1.41524e+06
44 -1.9511e+06
45 -2.19632e+06
46 -2.65651e+06
47 -3.06006e+06
48 -2.84333e+06
49 -2.13362e+06
50 -1.38996e+06
51 -795764
52 -94436
53 335320
54 334884
55 1248
56 -30624
57 -42960
58 232616
59 590276
60 867124
61 1.33768e+06
62 2.13805e+06
63 3.01983e+06
64 4.07985e+06
65 4.8856e+06
66 5.4593e+06
67 5.74062e+06
68 5.10814e+06
69 4.65211e+06
70 3.9511e+06
71 3.11125e+06
72 2.55778e+06
73 1.43024e+06
74 -413528
75 -1.70753e+06
76 -2.63799e+06
77 -3.43931e+06
78 -3.9006e+06
79 -3.82194e+06
80 -4.14849e+06
81 -4.18718e+06
82 -3.75607e+06
83 -2.73809e+06
84 -2.43579e+06
85 -2.08876e+06
86 -1.97963e+06
87 -1.44264e+06
88 -861400
89 -502568
90 -496180
91 -304144
92 -575252
93 -301708
94 -227592
95 -61432
96 -553864
97 -1.14703e+06
98 -1.46857e+06
99 -1.9142e+06
