#MCS AutoCorr_Pz
0 2.34287e+08
1 1.56776e+08
2 1.0521e+08
3 7.05141e+07
4 4.68984e+07
5 3.14843e+07
6 2.1564e+07
7 1.4812e+07
8 9.5526e+06
9 6.06985e+06
10 3.76681e+06
11 2.36282e+06
12 1.00322e+06
13 100648
14 29784
15 78592
16 469184
17 583148
18 373700
19 130144
20 464964
21 704920
22 922528
23 900656
24 850124
25 340420
26 274744
27 671484
28 739632
29 501724
30 -114188
31 -369064
32 -637960
33 -852824
34 -927668
35 -898088
36 -850864
37 -861020
38 -620928
39 -441804
40 -873416
41 -987628
42 -803276
43 -666500
44 -372128
45 246496
46 530196
47 281208
48 -425112
49 -847988
50 -1.02116e+06
51 -577348
52 -670940
53 -646004
54 -754956
55 -595068
56 -559576
57 -648148
58 -340100
59 -31068
60 416140
61 601712
62 455824
63 359940
64 518268
65 325764
66 71344
67 448116
68 1.094e+06
69 1.32964e+06
70 844892
71 611984
72 473456
73 642136
74 164336
75 -360424
76 -394360
77 -4732
78 -168788
79 -279680
80 -69136
81 45012
82 548280
83 749636
84 271904
85 498880
86 666636
87 488740
88 649892
89 632120
90 689104
91 515340
92 694516
93 737840
94 559032
95 934940
96 1.14371e+06
97 1.14265e+06
98 798884
99 1.03518e+06
