#MCS AutoCorr_Pz
0 2.18283e+08
1 1.39923e+08
2 9.01559e+07
3 5.79792e+07
4 3.71719e+07
5 2.41189e+07
6 1.53928e+07
7 9.94966e+06
8 6.2099e+06
9 4.31835e+06
10 2.6261e+06
11 1.10768e+06
12 326316
13 -478368
14 -692024
15 -516056
16 -242132
17 -854348
18 -864272
19 -1.06968e+06
20 -1.18115e+06
21 -1.12331e+06
22 -995176
23 -1.06909e+06
24 -902380
25 -634132
26 -554332
27 159576
28 1.08527e+06
29 1.28023e+06
30 1.01515e+06
31 487384
32 -243724
33 -447400
34 -609508
35 -263264
36 -187520
37 127468
38 80972
39 -213432
40 -666480
41 -365284
42 136032
43 630536
44 908800
45 1.07208e+06
46 608780
47 680828
48 449868
49 -44600
50 -11760
51 30664
52 -666084
53 -641292
54 -529504
55 -489072
56 -179872
57 -226228
58 -407044
59 -509192
60 -561276
61 -101440
62 160312
63 326976
64 555484
65 484340
66 711072
67 915732
68 1.26419e+06
69 863224
70 413900
71 584072
72 943748
73 1.25834e+06
74 1.48108e+06
75 1.97e+06
76 1.91287e+06
77 1.99374e+06
78 1.9048e+06
79 1.41368e+06
80 1.30525e+06
81 764720
82 138716
83 -105224
84 -251216
85 24336
86 -118112
87 -45596
88 390372
89 257228
90 324260
91 502316
92 677120
93 942212
94 1.46302e+06
95 1.5769e+06
96 1.77863e+06
97 1.74908e+06
98 1.49447e+06
99 1.32577e+06
