#MCS AutoCorr_Pz
0 2.76253e+10
1 2.76232e+10
2 2.7622e+10
3 2.76214e+10
4 2.7621e+10
5 2.76207e+10
6 2.76206e+10
7 2.76205e+10
8 2.76205e+10
9 2.76204e+10
10 2.76204e+10
11 2.76204e+10
12 2.76204e+10
13 2.76204e+10
14 2.76204e+10
15 2.76204e+10
16 2.76204e+10
17 2.76204e+10
18 2.76204e+10
19 2.76204e+10
20 2.76204e+10
21 2.76204e+10
22 2.76204e+10
23 2.76204e+10
24 2.76204e+10
25 2.76204e+10
26 2.76204e+10
27 2.76204e+10
28 2.76204e+10
29 2.76204e+10
30 2.76204e+10
31 2.76204e+10
32 2.76204e+10
33 2.76204e+10
34 2.76204e+10
35 2.76204e+10
36 2.76204e+10
37 2.76204e+10
38 2.76204e+10
39 2.76204e+10
40 2.76204e+10
41 2.76204e+10
42 2.76204e+10
43 2.76204e+10
44 2.76204e+10
45 2.76204e+10
46 2.76204e+10
47 2.76204e+10
48 2.76204e+10
49 2.76204e+10
50 2.76204e+10
51 2.76204e+10
52 2.76204e+10
53 2.76204e+10
54 2.76204e+10
55 2.76204e+10
56 2.76204e+10
57 2.76204e+10
58 2.76204e+10
59 2.76204e+10
60 2.76204e+10
61 2.76204e+10
62 2.76204e+10
63 2.76204e+10
64 2.76204e+10
65 2.76204e+10
66 2.76204e+10
67 2.76204e+10
68 2.76204e+10
69 2.76204e+10
70 2.76204e+10
71 2.76204e+10
72 2.76204e+10
73 2.76204e+10
74 2.76204e+10
75 2.76204e+10
76 2.76204e+10
77 2.76204e+10
78 2.76204e+10
79 2.76204e+10
80 2.76204e+10
81 2.76204e+10
82 2.76204e+10
83 2.76204e+10
84 2.76204e+10
85 2.76204e+10
86 2.76204e+10
87 2.76204e+10
88 2.76204e+10
89 2.76204e+10
90 2.76204e+10
91 2.76204e+10
92 2.76204e+10
93 2.76204e+10
94 2.76204e+10
95 2.76204e+10
96 2.76204e+10
97 2.76204e+10
98 2.76204e+10
99 2.76204e+10
