#MCS AutoCorr_Pz
0 1.83941e+10
1 1.83748e+10
2 1.83583e+10
3 1.83436e+10
4 1.83305e+10
5 1.83184e+10
6 1.8307e+10
7 1.82964e+10
8 1.82865e+10
9 1.82773e+10
10 1.82687e+10
11 1.82604e+10
12 1.82524e+10
13 1.82447e+10
14 1.82372e+10
15 1.82299e+10
16 1.82229e+10
17 1.8216e+10
18 1.82092e+10
19 1.82026e+10
20 1.81963e+10
21 1.81902e+10
22 1.81842e+10
23 1.81785e+10
24 1.8173e+10
25 1.81677e+10
26 1.81625e+10
27 1.81574e+10
28 1.81524e+10
29 1.81474e+10
30 1.81425e+10
31 1.81377e+10
32 1.81328e+10
33 1.8128e+10
34 1.81234e+10
35 1.81191e+10
36 1.81149e+10
37 1.81108e+10
38 1.81068e+10
39 1.81029e+10
40 1.80989e+10
41 1.80952e+10
42 1.80914e+10
43 1.80878e+10
44 1.80841e+10
45 1.80805e+10
46 1.8077e+10
47 1.80735e+10
48 1.80699e+10
49 1.80664e+10
50 1.8063e+10
51 1.80594e+10
52 1.80559e+10
53 1.80524e+10
54 1.8049e+10
55 1.80456e+10
56 1.80423e+10
57 1.80392e+10
58 1.8036e+10
59 1.80329e+10
60 1.80298e+10
61 1.80268e+10
62 1.80238e+10
63 1.80208e+10
64 1.80178e+10
65 1.80148e+10
66 1.80119e+10
67 1.80089e+10
68 1.80058e+10
69 1.80029e+10
70 1.8e+10
71 1.79972e+10
72 1.79945e+10
73 1.79917e+10
74 1.79889e+10
75 1.79862e+10
76 1.79835e+10
77 1.79808e+10
78 1.79781e+10
79 1.79755e+10
80 1.79728e+10
81 1.79701e+10
82 1.79675e+10
83 1.79649e+10
84 1.79622e+10
85 1.79596e+10
86 1.79569e+10
87 1.79542e+10
88 1.79517e+10
89 1.79492e+10
90 1.79466e+10
91 1.79442e+10
92 1.79418e+10
93 1.79394e+10
94 1.7937e+10
95 1.79347e+10
96 1.79324e+10
97 1.79301e+10
98 1.79279e+10
99 1.79255e+10
