#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.0002 0 -600 -600 302
0.0002 20 -424 -424 210
0.0002 40 -504 -504 238
0.0002 60 -496 -496 222
0.0002 80 -652 -652 344
0.0002 100 -640 -640 342
0.0002 120 -600 -600 290
0.0002 140 -572 -572 310
0.0002 160 -668 -668 350
0.0002 180 -592 -592 304
0.0002 200 -504 -504 170
0.0002 220 -540 -540 260
0.0002 240 -452 -452 160
0.0002 260 -400 -400 186
0.0002 280 -512 -512 256
0.0002 300 -560 -560 274
0.0002 320 -548 -548 230
0.0002 340 -548 -548 294
0.0002 360 -456 -456 202
0.0002 380 -552 -552 248
0.0002 400 -524 -524 246
0.0002 420 -536 -536 300
0.0002 440 -496 -496 280
0.0002 460 -468 -468 232
0.0002 480 -608 -608 314
0.0002 500 -540 -540 254
0.0002 520 -500 -500 144
0.0002 540 -476 -476 206
0.0002 560 -452 -452 234
0.0002 580 -496 -496 284
0.0002 600 -560 -560 276
0.0002 620 -548 -548 280
0.0002 640 -480 -480 194
0.0002 660 -412 -412 140
0.0002 680 -508 -508 184
0.0002 700 -636 -636 314
0.0002 720 -484 -484 202
0.0002 740 -500 -500 218
0.0002 760 -448 -448 64
0.0002 780 -468 -468 2
0.0002 800 -504 -504 42
0.0002 820 -416 -416 58
0.0002 840 -344 -344 12
0.0002 860 -440 -440 144
0.0002 880 -464 -464 142
0.0002 900 -424 -424 100
0.0002 920 -444 -444 112
0.0002 940 -524 -524 16
0.0002 960 -496 -496 14
0.0002 980 -424 -424 46
0.0002 1000 -488 -488 28
0.0002 1020 -404 -404 46
0.0002 1040 -528 -528 148
0.0002 1060 -428 -428 128
0.0002 1080 -504 -504 152
0.0002 1100 -444 -444 46
0.0002 1120 -464 -464 84
0.0002 1140 -500 -500 58
0.0002 1160 -448 -448 46
0.0002 1180 -504 -504 26
0.0002 1200 -484 -484 6
0.0002 1220 -436 -436 82
0.0002 1240 -468 -468 42
0.0002 1260 -500 -500 234
0.0002 1280 -444 -444 162
0.0002 1300 -408 -408 122
0.0002 1320 -432 -432 56
0.0002 1340 -456 -456 128
0.0002 1360 -432 -432 56
0.0002 1380 -456 -456 128
0.0002 1400 -464 -464 160
0.0002 1420 -476 -476 50
0.0002 1440 -424 -424 72
0.0002 1460 -496 -496 156
0.0002 1480 -544 -544 250
0.0002 1500 -428 -428 186
0.0002 1520 -416 -416 42
0.0002 1540 -508 -508 162
0.0002 1560 -424 -424 74
0.0002 1580 -464 -464 58
0.0002 1600 -420 -420 12
0.0002 1620 -472 -472 46
0.0002 1640 -396 -396 32
0.0002 1660 -412 -412 124
0.0002 1680 -488 -488 132
0.0002 1700 -396 -396 44
0.0002 1720 -468 -468 168
0.0002 1740 -404 -404 56
0.0002 1760 -488 -488 116
0.0002 1780 -384 -384 2
0.0002 1800 -500 -500 38
0.0002 1820 -516 -516 96
0.0002 1840 -480 -480 62
0.0002 1860 -468 -468 74
0.0002 1880 -396 -396 72
0.0002 1900 -452 -452 4
0.0002 1920 -432 -432 22
0.0002 1940 -404 -404 100
0.0002 1960 -500 -500 172
0.0002 1980 -412 -412 122
0.0002 2000 -452 -452 24
