#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
0.000383333 0 -232 -232 26
0.000383333 20 -208 -208 8
0.000383333 40 -208 -208 78
0.000383333 60 -188 -188 30
0.000383333 80 -176 -176 8
0.000383333 100 -232 -232 42
0.000383333 120 -204 -204 36
0.000383333 140 -172 -172 14
0.000383333 160 -252 -252 22
0.000383333 180 -156 -156 18
0.000383333 200 -196 -196 4
0.000383333 220 -152 -152 16
0.000383333 240 -192 -192 16
0.000383333 260 -204 -204 28
0.000383333 280 -188 -188 28
0.000383333 300 -224 -224 14
0.000383333 320 -224 -224 20
0.000383333 340 -168 -168 46
0.000383333 360 -180 -180 48
0.000383333 380 -160 -160 50
0.000383333 400 -172 -172 6
0.000383333 420 -228 -228 8
0.000383333 440 -140 -140 36
0.000383333 460 -168 -168 4
0.000383333 480 -176 -176 32
0.000383333 500 -196 -196 44
0.000383333 520 -200 -200 2
0.000383333 540 -204 -204 76
0.000383333 560 -228 -228 10
0.000383333 580 -216 -216 50
0.000383333 600 -268 -268 48
0.000383333 620 -164 -164 18
0.000383333 640 -168 -168 30
0.000383333 660 -188 -188 58
0.000383333 680 -144 -144 30
0.000383333 700 -160 -160 6
0.000383333 720 -172 -172 8
0.000383333 740 -132 -132 30
0.000383333 760 -176 -176 28
0.000383333 780 -212 -212 12
0.000383333 800 -188 -188 46
0.000383333 820 -240 -240 8
0.000383333 840 -204 -204 46
0.000383333 860 -184 -184 14
0.000383333 880 -220 -220 40
0.000383333 900 -216 -216 22
0.000383333 920 -168 -168 2
0.000383333 940 -136 -136 58
0.000383333 960 -196 -196 26
0.000383333 980 -140 -140 22
0.000383333 1000 -196 -196 40
0.000383333 1020 -236 -236 34
0.000383333 1040 -172 -172 8
0.000383333 1060 -168 -168 80
0.000383333 1080 -140 -140 40
0.000383333 1100 -180 -180 62
0.000383333 1120 -176 -176 48
0.000383333 1140 -184 -184 32
0.000383333 1160 -184 -184 16
0.000383333 1180 -176 -176 8
0.000383333 1200 -108 -108 30
0.000383333 1220 -216 -216 18
0.000383333 1240 -188 -188 4
0.000383333 1260 -172 -172 10
0.000383333 1280 -196 -196 2
0.000383333 1300 -224 -224 22
0.000383333 1320 -188 -188 46
0.000383333 1340 -196 -196 30
0.000383333 1360 -136 -136 76
0.000383333 1380 -196 -196 30
0.000383333 1400 -148 -148 16
0.000383333 1420 -184 -184 34
0.000383333 1440 -160 -160 2
0.000383333 1460 -212 -212 36
0.000383333 1480 -208 -208 44
0.000383333 1500 -152 -152 32
0.000383333 1520 -184 -184 10
0.000383333 1540 -192 -192 64
0.000383333 1560 -148 -148 36
0.000383333 1580 -248 -248 8
0.000383333 1600 -200 -200 58
0.000383333 1620 -192 -192 22
0.000383333 1640 -244 -244 34
0.000383333 1660 -244 -244 86
0.000383333 1680 -228 -228 62
0.000383333 1700 -212 -212 64
0.000383333 1720 -172 -172 32
0.000383333 1740 -256 -256 54
0.000383333 1760 -264 -264 14
0.000383333 1780 -192 -192 60
0.000383333 1800 -176 -176 28
0.000383333 1820 -184 -184 52
0.000383333 1840 -168 -168 74
0.000383333 1860 -212 -212 8
0.000383333 1880 -212 -212 6
0.000383333 1900 -244 -244 28
0.000383333 1920 -164 -164 14
0.000383333 1940 -200 -200 20
0.000383333 1960 -176 -176 4
0.000383333 1980 -224 -224 34
0.000383333 2000 -172 -172 16
