#MCS AutoCorr_Pz
0 2.79548e+08
1 2.02926e+08
2 1.47348e+08
3 1.06678e+08
4 7.73725e+07
5 5.60772e+07
6 4.08355e+07
7 2.95716e+07
8 2.14684e+07
9 1.55602e+07
10 1.08615e+07
11 7.87566e+06
12 6.36001e+06
13 4.94919e+06
14 3.57923e+06
15 2.47891e+06
16 1.26191e+06
17 301040
18 337564
19 309588
20 245976
21 -14032
22 -175164
23 -588508
24 -1.07826e+06
25 -1.32492e+06
26 -1.41463e+06
27 -942184
28 -213120
29 543712
30 1.47265e+06
31 1.93968e+06
32 2.35154e+06
33 2.29388e+06
34 2.06544e+06
35 1.73826e+06
36 1.52081e+06
37 1.65959e+06
38 1.7816e+06
39 2.36298e+06
40 2.28022e+06
41 1.88624e+06
42 1.95464e+06
43 1.42441e+06
44 1.15667e+06
45 1.08152e+06
46 745528
47 661960
48 252644
49 -100632
50 -924112
51 -1.33523e+06
52 -1.71387e+06
53 -2.28418e+06
54 -2.8202e+06
55 -2.39102e+06
56 -2.47879e+06
57 -2.33349e+06
58 -1.62157e+06
59 -1.00867e+06
60 -323096
61 86604
62 35260
63 195712
64 254444
65 -8568
66 -159512
67 -64128
68 -728096
69 -1.3101e+06
70 -1.90272e+06
71 -2.48176e+06
72 -2.69271e+06
73 -2.37817e+06
74 -2.18194e+06
75 -1.53924e+06
76 -892760
77 -74932
78 -78944
79 130876
80 -74108
81 -388212
82 -198616
83 -540800
84 -259504
85 -283136
86 -204808
87 -182828
88 77644
89 734852
90 943124
91 844504
92 597752
93 610776
94 841564
95 958036
96 1.20098e+06
97 1.33306e+06
98 1.22534e+06
99 1.15931e+06
