#MCS AutoCorr_Pz
0 2.52673e+08
1 1.7481e+08
2 1.21022e+08
3 8.41597e+07
4 5.80377e+07
5 3.99659e+07
6 2.76652e+07
7 1.87593e+07
8 1.27517e+07
9 9.13391e+06
10 6.6981e+06
11 4.8652e+06
12 4.00057e+06
13 2.86276e+06
14 2.02964e+06
15 1.63212e+06
16 1.15428e+06
17 1.19294e+06
18 1.05299e+06
19 447796
20 -386072
21 -817552
22 -1.40219e+06
23 -1.57458e+06
24 -1.41129e+06
25 -1.0107e+06
26 -727304
27 -289676
28 -182944
29 -428156
30 -241316
31 -629096
32 -612604
33 -221672
34 35052
35 506924
36 427768
37 400056
38 258756
39 -455788
40 -1.16017e+06
41 -1.56733e+06
42 -1.75161e+06
43 -2.08739e+06
44 -1.77632e+06
45 -1.61236e+06
46 -1.0522e+06
47 -574756
48 -4116
49 -155756
50 -363208
51 -1.10176e+06
52 -1.80875e+06
53 -1.89398e+06
54 -1.62085e+06
55 -1.51091e+06
56 -1.3291e+06
57 -949984
58 -810044
59 -531384
60 -601528
61 -330020
62 109060
63 386240
64 -1572
65 -32444
66 -323728
67 -355236
68 -272092
69 -36048
70 153976
71 288760
72 1.20864e+06
73 1.20861e+06
74 1.89592e+06
75 2.0102e+06
76 1.49753e+06
77 827716
78 818852
79 517764
80 100304
81 -148644
82 -416424
83 -316460
84 -76464
85 745992
86 1.35748e+06
87 1.98203e+06
88 1.43383e+06
89 884968
90 828636
91 1.18198e+06
92 1.20096e+06
93 854688
94 363596
95 229372
96 310952
97 296072
98 251056
99 144428
