#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
1.33333 0 -154.65 -11822.2 0.94125
1.33333 1000 -155.7 -11920.4 0.945
1.33333 2000 -152.9 -12019.3 0.9375
1.33333 3000 -153.75 -12123.6 0.945
1.33333 4000 -153.8 -12217 0.94
1.33333 5000 -153.5 -12309.7 0.93625
1.33333 6000 -155.45 -12403 0.93625
1.33333 7000 -153.45 -12489 0.935
1.33333 8000 -151.15 -12593.7 0.92375
1.33333 9000 -155.4 -12696.3 0.9375
1.33333 10000 -155.6 -12789.5 0.94625
