#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.25 0 -106.9 -59885.6 0.45
2.25 1000 -111.3 -60303.5 0.59875
2.25 2000 -107.6 -60752.6 0.615
2.25 3000 -99.9 -61177.9 0.22875
2.25 4000 -114.3 -61617.4 0.68
2.25 5000 -106.5 -62031.2 0.54125
2.25 6000 -101.45 -62453.1 0.34125
2.25 7000 -100.55 -62895.6 0.0025
2.25 8000 -113.55 -63317 0.51875
2.25 9000 -102 -63740.8 0.35
2.25 10000 -101.7 -64168.4 0.44125
