#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.08333 0 -130.15 -48647.2 0.8025
2.08333 1000 -117.4 -49015.6 0.57375
2.08333 2000 -123.6 -49394.3 0.75
2.08333 3000 -119.15 -49765.6 0.77125
2.08333 4000 -128.1 -50130.8 0.8025
2.08333 5000 -121.95 -50493.6 0.74875
2.08333 6000 -122.05 -50851.7 0.755
2.08333 7000 -123 -51204.9 0.7775
2.08333 8000 -128 -51560.6 0.805
2.08333 9000 -113.8 -51910.2 0.67875
2.08333 10000 -121.85 -52272.8 0.6975
