#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.83333 0 -67.15 -74907.1 0.13
2.83333 1000 -66.2 -75409 0.05875
2.83333 2000 -67.2 -75921.1 0.00625
2.83333 3000 -69.95 -76426 0.10125
2.83333 4000 -76.25 -76913.9 0.0675
2.83333 5000 -67.5 -77416.3 0.0675
2.83333 6000 -64 -77918.4 0.0175
2.83333 7000 -70.8 -78425.7 0.16625
2.83333 8000 -63.85 -78909 0.025
2.83333 9000 -60.4 -79409.6 0.00875
2.83333 10000 -64.9 -79915.6 0.1
