#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
1 0 -156.35 -3675.2 0.94125
1 1000 -157.15 -3708.4 0.94625
1 2000 -157.35 -3741.1 0.95
1 3000 -158.05 -3773.1 0.9575
1 4000 -157.9 -3804.8 0.94875
1 5000 -156.65 -3835.6 0.94875
1 6000 -158.25 -3873.9 0.95625
1 7000 -156.25 -3909.7 0.94625
1 8000 -157.05 -3938.3 0.95375
1 9000 -157.55 -3971.3 0.94875
1 10000 -157.95 -4007.9 0.95
