#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
1.08333 0 -158 -5228.45 0.95375
1.08333 1000 -157.3 -5275.25 0.94
1.08333 2000 -153.6 -5322.15 0.93875
1.08333 3000 -157.35 -5366.25 0.9525
1.08333 4000 -157.95 -5409.95 0.95125
1.08333 5000 -157.6 -5454.85 0.94875
1.08333 6000 -156.25 -5503.6 0.95375
1.08333 7000 -157.2 -5552.15 0.94625
1.08333 8000 -156.65 -5595.7 0.95
1.08333 9000 -156.95 -5648.15 0.93875
1.08333 10000 -157.45 -5693.85 0.9525
