#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.5 0 -90.9 -70052.3 0.40625
2.5 1000 -88.25 -70525 0.11875
2.5 2000 -84.95 -71005.9 0.0125
2.5 3000 -77.75 -71492.5 0.2475
2.5 4000 -84 -71979.6 0.0825
2.5 5000 -89.3 -72464.2 0.15375
2.5 6000 -78.1 -72937 0.03375
2.5 7000 -84.35 -73423.1 0.1125
2.5 8000 -87.55 -73913.5 0.265
2.5 9000 -78.65 -74381.9 0.175
2.5 10000 -73.2 -74864.3 0.12125
