#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.91667 0 -64.65 -74964.6 0.00875
2.91667 1000 -60.75 -75464.3 0.105
2.91667 2000 -66.5 -75969.2 0.1075
2.91667 3000 -67.85 -76456.4 0.04125
2.91667 4000 -67.25 -76956.5 0.06375
2.91667 5000 -62.1 -77450 0.1
2.91667 6000 -69.9 -77954.5 0.12875
2.91667 7000 -69.25 -78460.5 0.1275
2.91667 8000 -59.2 -78950.3 0.05375
2.91667 9000 -67.85 -79447.4 0.00125
2.91667 10000 -66.2 -79959 0.01625
