#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
1.16667 0 -156.45 -7114.45 0.9525
1.16667 1000 -156.55 -7172.95 0.9425
1.16667 2000 -155.2 -7233.8 0.9425
1.16667 3000 -156.05 -7294.85 0.9575
1.16667 4000 -156.4 -7366.55 0.95625
1.16667 5000 -155.6 -7440.25 0.93625
1.16667 6000 -156.25 -7504.05 0.94
1.16667 7000 -154 -7566.75 0.94
1.16667 8000 -157.1 -7624.75 0.9475
1.16667 9000 -156.05 -7688.8 0.94625
1.16667 10000 -156.95 -7746.45 0.94125
