#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
1.66667 0 -149.15 -24976.9 0.9275
1.66667 1000 -147.45 -25160.3 0.90625
1.66667 2000 -141.85 -25340.8 0.88625
1.66667 3000 -140.95 -25543.7 0.895
1.66667 4000 -147.05 -25750.8 0.91625
1.66667 5000 -150 -25948 0.92
1.66667 6000 -143.8 -26142.8 0.90625
1.66667 7000 -148.75 -26335.4 0.9175
1.66667 8000 -143.8 -26517.7 0.8675
1.66667 9000 -144.1 -26711.6 0.9125
1.66667 10000 -144.3 -26920.2 0.895
