#Equilibrated stats.
#kT/J nstep/site E_tot/site E_tot(global)/site P_tot/site
2.58333 0 -81.35 -71820.6 0.23375
2.58333 1000 -80.85 -72308.3 0.045
2.58333 2000 -77.7 -72792.6 0.02875
2.58333 3000 -77.05 -73276.3 0.035
2.58333 4000 -84.6 -73777.2 0.0475
2.58333 5000 -67.5 -74238.5 0.025
2.58333 6000 -77.55 -74726.3 0.20625
2.58333 7000 -76.7 -75204.3 0.00125
2.58333 8000 -82.15 -75701.2 0.14625
2.58333 9000 -90.25 -76195.6 0.42
2.58333 10000 -81.6 -76671 0.1
