#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
4.58333e-05 0 -97.8434 -97.8434 4
4.58333e-05 20 -88.0689 -88.0689 4
4.58333e-05 40 -72.4565 -72.4565 1.41421
4.58333e-05 60 -74.7013 -74.7013 3.74166
4.58333e-05 80 -75.8456 -75.8456 6.16441
4.58333e-05 100 -72.56 -72.56 3.16228
4.58333e-05 120 -55.0251 -55.0251 2.44949
4.58333e-05 140 -57.3572 -57.3572 3.74166
4.58333e-05 160 -59.1324 -59.1324 2.44949
4.58333e-05 180 -57.5487 -57.5487 11.4018
4.58333e-05 200 -53.114 -53.114 5.47723
4.58333e-05 220 -60.0983 -60.0983 6
4.58333e-05 240 -60.557 -60.557 4
4.58333e-05 260 -60.159 -60.159 3.4641
4.58333e-05 280 -62.1642 -62.1642 2.82843
4.58333e-05 300 -64.1051 -64.1051 3.4641
4.58333e-05 320 -68.1673 -68.1673 6.78233
4.58333e-05 340 -51.4623 -51.4623 9.89949
4.58333e-05 360 -72.682 -72.682 1.41421
4.58333e-05 380 -72.1369 -72.1369 2
4.58333e-05 400 -61.1265 -61.1265 3.74166
4.58333e-05 420 -67.7929 -67.7929 5.47723
4.58333e-05 440 -59.8728 -59.8728 4.24264
4.58333e-05 460 -56.3499 -56.3499 3.16228
4.58333e-05 480 -60.9209 -60.9209 3.16228
4.58333e-05 500 -53.9786 -53.9786 9.27362
4.58333e-05 520 -58.932 -58.932 2.82843
4.58333e-05 540 -65.6339 -65.6339 4.89898
4.58333e-05 560 -63.1213 -63.1213 3.16228
4.58333e-05 580 -65.8379 -65.8379 4.24264
4.58333e-05 600 -62.7662 -62.7662 3.16228
4.58333e-05 620 -59.3232 -59.3232 8.7178
4.58333e-05 640 -53.3928 -53.3928 7.34847
4.58333e-05 660 -60.9157 -60.9157 5.83095
4.58333e-05 680 -57.557 -57.557 6.63325
4.58333e-05 700 -57.8395 -57.8395 5.83095
4.58333e-05 720 -54.4393 -54.4393 8.12404
4.58333e-05 740 -67.3247 -67.3247 1.41421
4.58333e-05 760 -57.1982 -57.1982 7.34847
4.58333e-05 780 -59.9859 -59.9859 4
4.58333e-05 800 -55.1642 -55.1642 5.65685
4.58333e-05 820 -63.0214 -63.0214 4.69042
4.58333e-05 840 -64.761 -64.761 4.89898
4.58333e-05 860 -65.1805 -65.1805 6
4.58333e-05 880 -60.2929 -60.2929 3.74166
4.58333e-05 900 -70.6308 -70.6308 2.82843
4.58333e-05 920 -60.5481 -60.5481 2.44949
4.58333e-05 940 -62.3566 -62.3566 4.47214
4.58333e-05 960 -60.2855 -60.2855 8.12404
4.58333e-05 980 -59.432 -59.432 5.47723
4.58333e-05 1000 -56.4142 -56.4142 6.48074
4.58333e-05 1020 -64.3085 -64.3085 3.74166
4.58333e-05 1040 -75.8958 -75.8958 2.44949
4.58333e-05 1060 -62.8018 -62.8018 6.16441
4.58333e-05 1080 -57.6464 -57.6464 4.24264
4.58333e-05 1100 -55.9822 -55.9822 2.44949
4.58333e-05 1120 -68.6841 -68.6841 2.44949
4.58333e-05 1140 -66.4786 -66.4786 4.69042
4.58333e-05 1160 -62.9216 -62.9216 3.74166
4.58333e-05 1180 -64.1605 -64.1605 2.82843
4.58333e-05 1200 -72.8744 -72.8744 4.89898
4.58333e-05 1220 -72.4121 -72.4121 6.16441
4.58333e-05 1240 -58.4497 -58.4497 4.69042
4.58333e-05 1260 -63.9424 -63.9424 3.74166
4.58333e-05 1280 -68.5806 -68.5806 3.16228
4.58333e-05 1300 -54.0999 -54.0999 3.74166
4.58333e-05 1320 -62.3906 -62.3906 4.47214
4.58333e-05 1340 -68.9194 -68.9194 5.09902
4.58333e-05 1360 -74.6244 -74.6244 2
4.58333e-05 1380 -74.8211 -74.8211 4.24264
4.58333e-05 1400 -63.9681 -63.9681 3.4641
4.58333e-05 1420 -66.2301 -66.2301 4.24264
4.58333e-05 1440 -64.1872 -64.1872 6.48074
4.58333e-05 1460 -57.6428 -57.6428 6
4.58333e-05 1480 -69.7175 -69.7175 4.47214
4.58333e-05 1500 -50.9001 -50.9001 3.74166
4.58333e-05 1520 -53.4586 -53.4586 4.69042
4.58333e-05 1540 -63.1945 -63.1945 5.47723
4.58333e-05 1560 -61.5162 -61.5162 4.89898
4.58333e-05 1580 -60.0747 -60.0747 1.41421
4.58333e-05 1600 -67.364 -67.364 5.09902
4.58333e-05 1620 -58.4534 -58.4534 7.87401
4.58333e-05 1640 -60.2034 -60.2034 6.63325
4.58333e-05 1660 -49.7264 -49.7264 2.44949
4.58333e-05 1680 -58.1679 -58.1679 4.69042
4.58333e-05 1700 -61.7181 -61.7181 5.09902
4.58333e-05 1720 -52.6198 -52.6198 2.44949
4.58333e-05 1740 -55.0178 -55.0178 4.47214
4.58333e-05 1760 -66.9948 -66.9948 6.16441
4.58333e-05 1780 -62.3572 -62.3572 4.24264
4.58333e-05 1800 -55.6893 -55.6893 3.74166
4.58333e-05 1820 -61.8379 -61.8379 4.47214
4.58333e-05 1840 -60.8447 -60.8447 1.41421
4.58333e-05 1860 -60.3462 -60.3462 2.82843
4.58333e-05 1880 -58.9697 -58.9697 3.74166
4.58333e-05 1900 -62.5607 -62.5607 3.74166
4.58333e-05 1920 -66.2264 -66.2264 7.07107
4.58333e-05 1940 -66.6036 -66.6036 4.69042
4.58333e-05 1960 -56.1094 -56.1094 8.60233
4.58333e-05 1980 -52.5466 -52.5466 4.89898
4.58333e-05 2000 -53.0267 -53.0267 5.47723
