#Equilibrated stats.
#kT/J MCS E_tot/site E_tot(global)/site P_tot/site
8.33333e-06 0 -101.066 -101.066 1.41421
8.33333e-06 20 -100.774 -100.774 1.41421
8.33333e-06 40 -101.066 -101.066 1.41421
8.33333e-06 60 -101.066 -101.066 1.41421
8.33333e-06 80 -101.066 -101.066 1.41421
8.33333e-06 100 -100.774 -100.774 1.41421
8.33333e-06 120 -101.066 -101.066 1.41421
8.33333e-06 140 -101.066 -101.066 1.41421
8.33333e-06 160 -101.066 -101.066 1.41421
8.33333e-06 180 -101.066 -101.066 1.41421
8.33333e-06 200 -101.066 -101.066 1.41421
8.33333e-06 220 -101.066 -101.066 1.41421
8.33333e-06 240 -101.066 -101.066 1.41421
8.33333e-06 260 -101.066 -101.066 1.41421
8.33333e-06 280 -101.066 -101.066 1.41421
8.33333e-06 300 -101.066 -101.066 1.41421
8.33333e-06 320 -101.066 -101.066 1.41421
8.33333e-06 340 -100.774 -100.774 0
8.33333e-06 360 -100.774 -100.774 1.41421
8.33333e-06 380 -101.066 -101.066 1.41421
8.33333e-06 400 -101.066 -101.066 1.41421
8.33333e-06 420 -101.066 -101.066 1.41421
8.33333e-06 440 -101.066 -101.066 1.41421
8.33333e-06 460 -101.066 -101.066 1.41421
8.33333e-06 480 -101.066 -101.066 1.41421
8.33333e-06 500 -101.066 -101.066 1.41421
8.33333e-06 520 -101.066 -101.066 1.41421
8.33333e-06 540 -101.066 -101.066 1.41421
8.33333e-06 560 -100.774 -100.774 1.41421
8.33333e-06 580 -101.066 -101.066 1.41421
8.33333e-06 600 -101.066 -101.066 1.41421
8.33333e-06 620 -101.066 -101.066 1.41421
8.33333e-06 640 -101.709 -101.709 0
8.33333e-06 660 -101.416 -101.416 1.41421
8.33333e-06 680 -101.709 -101.709 0
8.33333e-06 700 -101.752 -101.752 0
8.33333e-06 720 -101.752 -101.752 0
8.33333e-06 740 -101.231 -101.231 1.41421
8.33333e-06 760 -101.752 -101.752 0
8.33333e-06 780 -101.752 -101.752 0
8.33333e-06 800 -101.752 -101.752 0
8.33333e-06 820 -101.459 -101.459 1.41421
8.33333e-06 840 -101.291 -101.291 0
8.33333e-06 860 -102.623 -102.623 0
8.33333e-06 880 -102.623 -102.623 0
8.33333e-06 900 -102.623 -102.623 0
8.33333e-06 920 -102.331 -102.331 1.41421
8.33333e-06 940 -103.098 -103.098 0
8.33333e-06 960 -103.354 -103.354 1.41421
8.33333e-06 980 -103.098 -103.098 0
8.33333e-06 1000 -103 -103 1.41421
8.33333e-06 1020 -103.354 -103.354 1.41421
8.33333e-06 1040 -103.289 -103.289 0
8.33333e-06 1060 -103.061 -103.061 0
8.33333e-06 1080 -103.354 -103.354 1.41421
8.33333e-06 1100 -103.112 -103.112 0
8.33333e-06 1120 -103.457 -103.457 3.16228
8.33333e-06 1140 -103.811 -103.811 1.41421
8.33333e-06 1160 -103.811 -103.811 1.41421
8.33333e-06 1180 -103.75 -103.75 2
8.33333e-06 1200 -103.75 -103.75 2
8.33333e-06 1220 -103.811 -103.811 1.41421
8.33333e-06 1240 -103.271 -103.271 2
8.33333e-06 1260 -103.564 -103.564 1.41421
8.33333e-06 1280 -103.811 -103.811 1.41421
8.33333e-06 1300 -103.854 -103.854 2
8.33333e-06 1320 -104.436 -104.436 1.41421
8.33333e-06 1340 -105.414 -105.414 0
8.33333e-06 1360 -105.414 -105.414 0
8.33333e-06 1380 -105.121 -105.121 1.41421
8.33333e-06 1400 -105.414 -105.414 0
8.33333e-06 1420 -105.414 -105.414 0
8.33333e-06 1440 -105.414 -105.414 0
8.33333e-06 1460 -105.121 -105.121 1.41421
8.33333e-06 1480 -105.414 -105.414 0
8.33333e-06 1500 -105.414 -105.414 0
8.33333e-06 1520 -105.414 -105.414 0
8.33333e-06 1540 -106.932 -106.932 0
8.33333e-06 1560 -106.932 -106.932 0
8.33333e-06 1580 -106.932 -106.932 0
8.33333e-06 1600 -106.932 -106.932 0
8.33333e-06 1620 -106.932 -106.932 0
8.33333e-06 1640 -106.932 -106.932 0
8.33333e-06 1660 -106.932 -106.932 0
8.33333e-06 1680 -106.932 -106.932 0
8.33333e-06 1700 -106.932 -106.932 0
8.33333e-06 1720 -106.932 -106.932 0
8.33333e-06 1740 -106.932 -106.932 0
8.33333e-06 1760 -106.932 -106.932 0
8.33333e-06 1780 -106.932 -106.932 0
8.33333e-06 1800 -106.932 -106.932 0
8.33333e-06 1820 -106.932 -106.932 0
8.33333e-06 1840 -106.932 -106.932 0
8.33333e-06 1860 -106.639 -106.639 1.41421
8.33333e-06 1880 -106.932 -106.932 0
8.33333e-06 1900 -106.932 -106.932 0
8.33333e-06 1920 -106.932 -106.932 0
8.33333e-06 1940 -106.578 -106.578 1.41421
8.33333e-06 1960 -106.932 -106.932 0
8.33333e-06 1980 -106.932 -106.932 0
8.33333e-06 2000 -106.932 -106.932 0
