# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.785641 0.448625 1.00019 0.888621 0.662357
2 0.617924 0.192201 1.00027 0.789446 0.569257
3 0.487256 0.081955 1.00029 0.701715 0.497279
4 0.38377 0.0349306 1.00031 0.624922 0.438307
5 0.302254 0.0174782 1.00031 0.55745 0.389108
6 0.238708 0.00609998 1.00031 0.497818 0.347694
7 0.187527 0.00162283 1.00031 0.4451 0.311573
8 0.14855 -0.00125738 1.00031 0.397832 0.280348
9 0.117369 -0.00114331 1.00031 0.356412 0.25334
10 0.09226 -0.00142848 1.00032 0.319515 0.229004
11 0.0722168 -0.00265471 1.00032 0.287501 0.208248
12 0.0551662 -0.00205586 1.00032 0.259055 0.190227
13 0.0423491 0.000795836 1.00032 0.233121 0.173177
14 0.0321742 0.000539184 1.00031 0.209107 0.158058
15 0.0244518 0.00287757 1.00031 0.186774 0.142599
16 0.017941 0.00316274 1.00031 0.166503 0.130299
17 0.0132258 0.000909903 1.00031 0.147744 0.119628
18 0.008861 0.000653251 1.00031 0.132213 0.108993
19 0.00624794 -0.000943696 1.00031 0.117677 0.0988636
20 0.00484652 -0.00311098 1.00031 0.105197 0.0900466
21 0.00201449 -0.00490755 1.00031 0.0936825 0.0817393
22 0.000350304 -0.0036528 1.00032 0.0823565 0.0739836
23 -4.38451e-05 0.00179393 1.00032 0.0713956 0.0664691
24 -0.000248219 0.00179393 1.00032 0.0615815 0.0588715
25 0.00183931 0.00302016 1.00032 0.0523138 0.051036
26 0.00335752 0.000995454 1.00031 0.0443139 0.0446998
27 0.00176632 2.58791e-05 1.00031 0.0369764 0.0395149
28 0.00284658 0.00304867 1.00032 0.0312481 0.035448
29 0.00538665 -8.81886e-05 1.00032 0.025943 0.0327858
30 0.00677347 0.000881387 1.00031 0.0206328 0.0295719
31 0.00766396 -0.00353874 1.00031 0.0161544 0.0273746
32 0.00786833 -0.00159959 1.00031 0.0117218 0.0249044
33 0.00643772 0.00256388 1.00031 0.00786466 0.0215502
34 0.00572241 -0.00211289 1.00031 0.00533322 0.0185382
35 0.00525527 -0.000601493 1.00031 0.00318284 0.0161073
