# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.823003 0.528429 1 0.833285 0.00534685
2 0.681405 0.243861 1 0.700738 0.00435956
3 0.566357 0.113772 1 0.593816 0.00364477
4 0.473434 0.0568584 1 0.503184 0.00300342
5 0.402635 0.0731194 1 0.433906 0.00254794
6 0.340686 0.0324668 1 0.37317 0.0021068
7 0.300861 0.0487278 1 0.329666 0.0018217
8 0.261037 0.0487278 1 0.286162 0.00156529
9 0.230063 0.0568584 1 0.246134 0.00126643
10 0.199088 0.0568584 1 0.211172 0.00112359
11 0.172539 0.0487278 1 0.180481 0.000909624
12 0.145989 0.0405973 1 0.14979 0.000753023
13 0.123864 0.0324668 1 0.123369 0.000595843
14 0.10174 -5.53632e-05 1 0.0969492 0.000453005
15 0.0751901 -5.53632e-05 1 0.0713235 0.000309588
16 0.0486405 -5.53632e-05 1 0.0456977 0.000137487
17 0.0309408 -5.53632e-05 1 0.0286139 5.14361e-05
18 0.022091 -0.00818589 1 0.020072 8.41083e-06
19 0.017666 -0.00818589 1 0.0158011 8.41083e-06
20 0.0132411 -5.53632e-05 1 0.0115301 -5.93092e-06
21 0.00881618 -5.53632e-05 1 0.00725915 -5.93092e-06
22 0.00439126 -5.53632e-05 1 0.00298819 -5.93092e-06
23 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
24 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
25 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
26 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
27 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
28 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
29 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
30 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
31 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
32 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
33 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
34 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
35 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
36 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
37 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
38 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
39 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
40 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
41 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
42 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
43 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
44 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
45 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
46 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
47 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
48 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
49 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
50 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
51 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
52 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
53 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
54 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
55 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
56 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
57 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
58 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
59 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
60 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
61 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
62 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
63 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
64 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
65 -3.36726e-05 -5.53632e-05 1 -0.00128276 -5.93092e-06
