#T(K) E_av Esqrd_av P_av Psqrd_av Cv
750 -12.1242 0 0.619408 0 0
650 -6.58196 0 0.723805 0 0
550 -3.06787 0 0.715522 0 0
450 -1.36176 0 0.700084 0 0
350 -0.462404 0 0.736686 0 0
250 -0.236305 0 0.733561 0 0
150 -0.142478 0 0.725458 0 0
50 -0.143486 0 0.747471 0 0
