#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.83333 0 0.00255 0.02
1.83333 500 -0.1376 0.704
1.83333 1000 -0.1362 0.708
1.83333 1500 -0.1346 0.714
1.83333 2000 -0.13935 0.708
1.83333 2500 -0.1356 0.714
1.83333 3000 -0.1387 0.714
1.83333 3500 -0.1422 0.738
1.83333 4000 -0.13495 0.72
1.83333 4500 -0.1389 0.736
1.83333 5000 -0.1411 0.712
