#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.5 0 -0.00125 0.012
1.5 500 -0.14295 0.768
1.5 1000 -0.14105 0.726
1.5 1500 -0.1412 0.724
1.5 2000 -0.13935 0.728
1.5 2500 -0.1392 0.736
1.5 3000 -0.14295 0.754
1.5 3500 -0.1426 0.73
1.5 4000 -0.14285 0.744
1.5 4500 -0.1434 0.752
1.5 5000 -0.1416 0.702
