#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
0.833333 0 -0.00465 0.022
0.833333 500 -0.1429 0.712
0.833333 1000 -0.14255 0.754
0.833333 1500 -0.1427 0.714
0.833333 2000 -0.14245 0.71
0.833333 2500 -0.1427 0.748
0.833333 3000 -0.1426 0.732
0.833333 3500 -0.14245 0.732
0.833333 4000 -0.14225 0.718
0.833333 4500 -0.14205 0.712
0.833333 5000 -0.1426 0.732
