#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
1.16667 0 -0.0016 0.02
1.16667 500 -0.14205 0.702
1.16667 1000 -0.1425 0.726
1.16667 1500 -0.1429 0.738
1.16667 2000 -0.14285 0.736
1.16667 2500 -0.1426 0.74
1.16667 3000 -0.14305 0.746
1.16667 3500 -0.14205 0.724
1.16667 4000 -0.14245 0.736
1.16667 4500 -0.14085 0.742
1.16667 5000 -0.14265 0.738
