#Equilibrated stats.
#kT/J nstep/site E_tot/site P_tot/site
0.5 0 -0.0035 0.034
0.5 500 -0.13045 0.59
0.5 1000 -0.14255 0.742
0.5 1500 -0.14225 0.716
0.5 2000 -0.1418 0.714
0.5 2500 -0.14235 0.722
0.5 3000 -0.1421 0.718
0.5 3500 -0.1431 0.748
0.5 4000 -0.14275 0.742
0.5 4500 -0.1424 0.706
0.5 5000 -0.1421 0.724
